model,k,clean_mse,cf_mse,comp_mse,clean_skill,cf_skill,comp_skill,identity_acc,gated_svt_score,gate_passed,old_smss
RawTrajectoryKNN,1,137.54388721964125,450.02811217673786,131.89641501165252,0.3531565240886849,0.13503612780617547,0.37603348308829687,0.735,0.0,False,0.0
RawTrajectoryKNN,3,91.01723117747704,400.1360583680687,88.44742213531363,0.5719627867674821,0.230929746196622,0.5815789995905873,0.795,0.061069377972054056,True,0.0
RawTrajectoryKNN,5,86.8223757514472,394.02640595629487,84.97755313579246,0.5916904163958754,0.2426726317294502,0.5979940179485908,0.805,0.06912068842472388,True,0.0
RawTrajectoryKNN,10,87.47417209390423,393.18466104585417,84.89024763753761,0.588625138685148,0.24429048385342667,0.5984070368138004,0.83,0.07142004832419824,True,0.0
TranslationNormalizedKNN,1,175.62649256349,397.617117087177,162.2871429091816,0.17406107091862,0.23577120641920757,0.23226311123279753,0.725,0.0,False,0.0
TranslationNormalizedKNN,3,128.33654132599716,325.5131341687495,117.19562338213046,0.39645696980207346,0.37435663825824594,0.44557898019757936,0.755,0.0,False,0.0
TranslationNormalizedKNN,5,116.23488476999377,314.4056637848445,107.48057035224102,0.4533688235325849,0.3957054392188569,0.4915382869773509,0.74,0.0,False,0.0
TranslationNormalizedKNN,10,110.81908044766591,304.12013450638676,104.4934162956938,0.47883835012169396,0.415474451401731,0.50566971057956,0.775,0.0,False,0.0
VelocityOnlyKNN,1,247.82992777901654,610.9545261007103,244.73512821967907,-0.16549833773010758,-0.17426795867115907,-0.1577761647856859,0.585,0.0,False,0.0
VelocityOnlyKNN,3,154.90242840068106,531.0230904457862,150.4116258731243,0.2715225137283167,-0.02063799151270218,0.28844299300486553,0.61,0.0,False,0.0
VelocityOnlyKNN,5,142.74964893545695,511.000540022437,132.21542680877235,0.32867478905056513,0.017845788226317105,0.37452432395091606,0.56,0.0,False,0.0
VelocityOnlyKNN,10,137.7528946608342,501.882671129663,121.7092286807359,0.3521736007288362,0.035370531615130485,0.42422632571765095,0.525,0.0,False,0.0
PermutationMinKNN,1,137.54388721964125,450.02811217673786,131.89641501165252,0.3531565240886849,0.13503612780617547,0.37603348308829687,0.735,0.0,False,0.0
PermutationMinKNN,3,91.01723117747704,400.1360583680687,88.44742213531363,0.5719627867674821,0.230929746196622,0.5815789995905873,0.795,0.061069377972054056,True,0.0
PermutationMinKNN,5,86.8223757514472,394.02640595629487,84.97755313579246,0.5916904163958754,0.2426726317294502,0.5979940179485908,0.805,0.06912068842472388,True,0.0
PermutationMinKNN,10,87.47417209390423,393.18466104585417,84.89024763753761,0.588625138685148,0.24429048385342667,0.5984070368138004,0.83,0.07142004832419824,True,0.0
