model,n_train,k,clean_skill,clean_mse,identity_acc,gated_svt_score
TranslationNormalizedDeltaKNN,50,5,0.8565423324235609,42.11101116437383,0.55,0.0
RawDeltaKNN,50,5,0.8597793435985418,41.16080880829419,0.55,0.0
LastVelocityBaseline,50,0,0.9440269725420066,16.430497051901607,0.56,0.0
TranslationNormalizedDeltaKNN,100,5,0.8766256695063908,36.21568576001859,0.55,0.0
RawDeltaKNN,100,5,0.8688898741950394,38.48647524255392,0.555,0.0
LastVelocityBaseline,100,0,0.9440269725420066,16.430497051901607,0.56,0.0
TranslationNormalizedDeltaKNN,250,5,0.8934821244811623,31.267589393847427,0.565,0.0
RawDeltaKNN,250,5,0.872568144225397,37.40674438584361,0.555,0.0
LastVelocityBaseline,250,0,0.9440269725420066,16.430497051901607,0.56,0.0
TranslationNormalizedDeltaKNN,500,5,0.905534644531027,27.729655068320643,0.57,0.0
RawDeltaKNN,500,5,0.8938648389182786,31.155246204344614,0.555,0.0
LastVelocityBaseline,500,0,0.9440269725420066,16.430497051901607,0.56,0.0
TranslationNormalizedDeltaKNN,1000,5,0.9185999954486398,23.89441121100024,0.57,0.0
RawDeltaKNN,1000,5,0.9065549774470966,27.430143361864886,0.57,0.0
LastVelocityBaseline,1000,0,0.9440269725420066,16.430497051901607,0.56,0.0
