model,n_train,k,clean_skill,clean_mse,identity_acc,gated_svt_score
TranslationNormalizedDeltaKNN,50,5,0.322811943929629,143.99631607848434,0.495,0.0
RawDeltaKNN,50,5,0.4895557384215091,108.5401500688412,0.47,0.0
LastVelocityBaseline,50,0,-1.2396400456976813,476.233910257864,0.5,0.0
TranslationNormalizedDeltaKNN,100,5,0.3855791652993307,130.64958238065825,0.49,0.0
RawDeltaKNN,100,5,0.5387157004621689,98.08684486217416,0.49,0.0
LastVelocityBaseline,100,0,-1.2396400456976813,476.233910257864,0.5,0.0
TranslationNormalizedDeltaKNN,250,5,0.45567126025793514,115.74529786207023,0.54,0.0
RawDeltaKNN,250,5,0.5706876954121152,91.28836481043245,0.5,0.0
LastVelocityBaseline,250,0,-1.2396400456976813,476.233910257864,0.5,0.0
TranslationNormalizedDeltaKNN,500,5,0.4998402758057986,106.35326050008122,0.515,0.0
RawDeltaKNN,500,5,0.6228652673447915,80.19339927925544,0.51,0.0
LastVelocityBaseline,500,0,-1.2396400456976813,476.233910257864,0.5,0.0
TranslationNormalizedDeltaKNN,1000,5,0.5322546647508206,99.46071041125731,0.535,0.0
RawDeltaKNN,1000,5,0.6716069533680568,69.8290356968077,0.53,0.0
LastVelocityBaseline,1000,0,-1.2396400456976813,476.233910257864,0.5,0.0
