model,k,version,clean_mse,cf_mse,comp_mse,clean_skill,cf_skill,comp_skill,identity_acc,gated_svt_score,gate_passed,old_smss
RawDeltaKNN,1,v2_delta,109.46003944369333,363.94997832292654,112.54907242732092,0.4852296687377793,0.30048018331035864,0.46756056487271336,0.515,0.0,False,0.0
RawDeltaKNN,3,v2_delta,73.30957011296431,314.5632160683676,70.2935858871768,0.6552386434032486,0.3954026202847909,0.6674599234302128,0.54,0.09338088802235156,True,0.0
RawDeltaKNN,5,v2_delta,69.8290356968077,299.29338654865114,66.41769234890205,0.6716069533680568,0.4247515665211239,0.6857957348378558,0.53,0.10368616758696884,True,0.0
RawDeltaKNN,10,v2_delta,70.24417864167206,283.16280100326657,67.64010016704123,0.669654612839631,0.4557549046606091,0.680012851743857,0.52,0.10792018474011325,True,0.0
TranslationNormalizedDeltaKNN,1,v2_delta,148.10606482261343,345.5033603012478,137.51009730513522,0.3034845552938147,0.33593498651306475,0.3494766597856783,0.52,0.0,False,0.0
TranslationNormalizedDeltaKNN,3,v2_delta,107.91096870302441,281.5994285287482,100.0692413101067,0.4925146620775903,0.45875974074229275,0.5265992942662794,0.54,0.0,False,0.0
TranslationNormalizedDeltaKNN,5,v2_delta,99.46071041125731,264.63694750271355,91.32647283378456,0.5322546647508206,0.49136200018632303,0.5679589839428656,0.535,0.0794679114038355,True,0.0
TranslationNormalizedDeltaKNN,10,v2_delta,94.20779856011981,249.37971166743674,87.4326314472141,0.556958138159418,0.5206867410857818,0.586379701800666,0.525,0.08927653059786321,True,0.0
VelocityDeltaKNN,1,v2_delta,173.39458668601725,392.4307032866166,171.46085396161558,0.1845573116812934,0.245739607153183,0.18886474796389496,0.51,0.0,False,0.0
VelocityDeltaKNN,3,v2_delta,120.67883266440069,307.7398452823764,117.54199259832303,0.43246975807141586,0.40851728813946775,0.4439404004577583,0.53,0.0,False,0.0
VelocityDeltaKNN,5,v2_delta,112.7623307058138,285.1645292280602,107.9706429057548,0.46969960337725536,0.45190753924154126,0.48921988534207517,0.515,0.0,False,0.0
VelocityDeltaKNN,10,v2_delta,109.26336956591425,262.4687728019884,102.66537866084204,0.48615457081755353,0.49552927937175184,0.5143176656866126,0.525,0.0,False,0.0
PermutationConsistentDeltaKNN,1,v2_delta,109.46003944369333,363.94997832292654,112.54907242732092,0.4852296687377793,0.30048018331035864,0.46756056487271336,0.515,0.0,False,0.0
PermutationConsistentDeltaKNN,3,v2_delta,73.30957011296431,314.5632160683676,70.2935858871768,0.6552386434032486,0.3954026202847909,0.6674599234302128,0.54,0.09338088802235156,True,0.0
PermutationConsistentDeltaKNN,5,v2_delta,69.8290356968077,299.29338654865114,66.41769234890205,0.6716069533680568,0.4247515665211239,0.6857957348378558,0.53,0.10368616758696884,True,0.0
PermutationConsistentDeltaKNN,10,v2_delta,70.24417864167206,283.16280100326657,67.64010016704123,0.669654612839631,0.4557549046606091,0.680012851743857,0.52,0.10792018474011325,True,0.0
LastVelocityBaseline,1,v2_delta,476.233910257864,3094.920251041094,479.7265090093902,-1.2396400456976813,-4.948504397921395,-1.2694572772910857,0.5,0.0,False,0.0
LastVelocityBaseline,3,v2_delta,476.233910257864,3094.920251041094,479.7265090093902,-1.2396400456976813,-4.948504397921395,-1.2694572772910857,0.5,0.0,False,0.0
LastVelocityBaseline,5,v2_delta,476.233910257864,3094.920251041094,479.7265090093902,-1.2396400456976813,-4.948504397921395,-1.2694572772910857,0.5,0.0,False,0.0
LastVelocityBaseline,10,v2_delta,476.233910257864,3094.920251041094,479.7265090093902,-1.2396400456976813,-4.948504397921395,-1.2694572772910857,0.5,0.0,False,0.0
Blend_TransNorm_LastVel_a0.3,1,v2_blend,267.6483568943493,1684.067821122701,263.704241079175,-0.2587007463227393,-2.2368151770555182,-0.2475139433204474,0.51,0.0,False,0.0
Blend_TransNorm_LastVel_a0.5,1,v2_blend,181.04236881054888,1022.5601834135056,173.66908361090717,0.14859120608079646,-0.9653830324475721,0.17841820654206864,0.505,0.0,False,0.0
Blend_TransNorm_LastVel_a0.7,1,v2_blend,136.39721872024916,584.3010648267629,126.81767639747305,0.3585490940738588,-0.12303942328173512,0.4000596315102579,0.51,0.0,False,0.0
Blend_TransNorm_LastVel_a0.3,3,v2_blend,264.56252037628775,1672.3171026520924,265.9090977324531,-0.24418862761077098,-2.2142300392066065,-0.25794452800399625,0.505,0.0,False,0.0
Blend_TransNorm_LastVel_a0.5,3,v2_blend,171.6265973195819,999.4420997429002,170.94521924647225,0.1928718388498697,-0.9209495701185018,0.19130407732078702,0.515,0.0,False,0.0
Blend_TransNorm_LastVel_a0.7,3,v2_blend,117.23334375435198,546.9887736471544,114.04619065273978,0.44867325549933745,-0.05132438374113213,0.46047810061894945,0.515,0.0,False,0.0
Blend_TransNorm_LastVel_a0.3,5,v2_blend,264.7426371074764,1666.7684379099794,266.1583476619291,-0.24503568330206327,-2.203565384241766,-0.2591236624810165,0.51,0.0,False,0.0
Blend_TransNorm_LastVel_a0.5,5,v2_blend,170.6338422436017,990.4133349033319,169.9929784278024,0.1975405824564117,-0.9035960866683537,0.19580887289717996,0.51,0.0,False,0.0
Blend_TransNorm_LastVel_a0.7,5,v2_blend,114.03335716883382,534.6551164946276,110.79833319168685,0.4637222008773373,-0.027618824998679736,0.4758428420125639,0.5,0.0,False,0.0
Blend_TransNorm_LastVel_a0.3,10,v2_blend,265.7711714494771,1665.8234574520468,267.92380777646105,-0.2498726901827215,-2.2017491111380987,-0.26747558014544826,0.51,0.0,False,0.0
Blend_TransNorm_LastVel_a0.5,10,v2_blend,171.10787191010675,987.1087530483725,171.53845360416372,0.19531130856161782,-0.8972446080831122,0.18849764489539933,0.51,0.0,False,0.0
Blend_TransNorm_LastVel_a0.7,10,v2_blend,112.96072677037955,527.607241702584,111.00625675159067,0.4687665833601178,-0.014072655535228185,0.4748592114912521,0.5,0.0,False,0.0
