model,k,clean_mse,cf_mse,comp_mse,clean_skill,cf_skill,comp_skill,identity_acc,gated_svt_score,gate_passed,old_smss
RawTrajectoryKNN,1,229.02991817341444,310.95734105678144,236.59133585877373,0.25802660894556995,0.328568010333521,0.26140118942526325,0.7,0.0,False,0.4347560246981498
RawTrajectoryKNN,3,158.43659283040643,238.33982552736194,153.19916957867756,0.48672323254957006,0.48536676212002827,0.5217376662542206,0.775,0.0,False,0.0
RawTrajectoryKNN,5,143.1618816325192,224.03019793784688,148.44326119460362,0.5362077250353602,0.5162647035905916,0.5365848214255167,0.785,0.11660402463994848,True,0.0
RawTrajectoryKNN,10,144.62171724469547,219.44591033725834,144.26840134935583,0.5314783901598689,0.5261632875391355,0.54961803967429,0.79,0.12142111686892562,True,0.0
TranslationNormalizedKNN,1,243.76507440511602,339.0487806443173,259.4126670609338,0.2102900777353801,0.2679118087119271,0.19015678810150072,0.73,0.0,False,0.41611217748978935
TranslationNormalizedKNN,3,163.91445297029475,221.337967538848,176.14125830883347,0.4689769638693474,0.5220778791448241,0.4501162800073968,0.75,0.0,False,0.45090976071725375
TranslationNormalizedKNN,5,155.93012297272088,201.9872728766641,158.86309483578728,0.49484328059706806,0.5638607017477681,0.5040558333886984,0.745,0.0,False,0.5150749752878477
TranslationNormalizedKNN,10,150.7788817926167,186.00459544409415,149.42785550978914,0.5115314229892212,0.5983711618394256,0.5335110816900566,0.78,0.12737406803971635,True,0.5924162834426084
VelocityOnlyKNN,1,285.2073773157678,539.3763703774747,278.92570630994487,0.07603213331940684,-0.16464383285134088,0.12924032415870979,0.62,0.0,False,0.0
VelocityOnlyKNN,3,187.90974537768247,411.7314659348582,181.99229851607853,0.3912409692934268,0.1109723396738922,0.43185030538068525,0.66,0.0,False,0.0
VelocityOnlyKNN,5,166.7202540435829,378.85626173026264,163.26707501833064,0.4598871918711078,0.18195784429252326,0.4903073395446006,0.655,0.0,False,0.0
VelocityOnlyKNN,10,152.4789504471593,345.39323044438703,151.80755279707006,0.5060238206868826,0.2542126095287759,0.5260820624508957,0.62,0.04195785075113016,True,0.0
PermutationMinKNN,1,229.02991817341444,310.95734105678144,236.59133585877373,0.25802660894556995,0.328568010333521,0.26140118942526325,0.7,0.0,False,0.4347560246981498
PermutationMinKNN,3,158.43659283040643,238.33982552736194,153.19916957867756,0.48672323254957006,0.48536676212002827,0.5217376662542206,0.775,0.0,False,0.0
PermutationMinKNN,5,143.1618816325192,224.03019793784688,148.44326119460362,0.5362077250353602,0.5162647035905916,0.5365848214255167,0.785,0.11660402463994848,True,0.0
PermutationMinKNN,10,144.62171724469547,219.44591033725834,144.26840134935583,0.5314783901598689,0.5261632875391355,0.54961803967429,0.79,0.12142111686892562,True,0.0
