model,k,clean_mse,cf_mse,comp_mse,clean_skill,cf_skill,comp_skill,identity_acc,gated_svt_score,gate_passed,old_smss
RawTrajectoryKNN,1,560.2830074334337,628.7831216209167,578.0199088830334,-0.7191915147210757,-0.8533316336986103,-0.7109135165871447,0.61,0.0,False,0.5184716344305493
RawTrajectoryKNN,3,371.392234364605,453.97253241090107,392.6403550291356,-0.13959261566359116,-0.33807926169913016,-0.16219818773207995,0.68,0.0,False,0.4985460084968736
RawTrajectoryKNN,5,337.10086010499106,416.57922228638006,352.1021549790899,-0.034371791770842375,-0.22786287363224655,-0.04220689792034471,0.72,0.0,False,0.5257589817818806
RawTrajectoryKNN,10,310.64460078374896,385.21751384914177,327.9505522145572,0.04680749786118088,-0.13542456806238423,0.029280784393110215,0.695,0.0,False,0.4987356099050529
TranslationNormalizedKNN,1,711.9919410564198,796.9276801324636,785.5236555045052,-1.1847003877935967,-1.3489359503672946,-1.32511548330347,0.62,0.0,False,0.48964559180755385
TranslationNormalizedKNN,3,482.2370173443061,527.6089131906284,515.0300210800762,-0.4797125333151038,-0.5551217191021489,-0.5244662181564683,0.65,0.0,False,0.5488014379684472
TranslationNormalizedKNN,5,436.091017796036,472.2037112363071,455.74229857480276,-0.3381165723290229,-0.39181546942308954,-0.3489771662344412,0.66,0.0,False,0.5780671264773477
TranslationNormalizedKNN,10,403.64935826754265,428.3831608698397,428.8353569120541,-0.2385714762884612,-0.2626548583829924,-0.2693338019258009,0.71,0.0,False,0.6249080094446033
VelocityOnlyKNN,1,602.2461976705198,641.5675644901343,601.7351044715981,-0.8479528007659607,-0.8910136445128543,-0.7811094528471771,0.46,0.0,False,0.4296011672058912
VelocityOnlyKNN,3,397.2251760978995,461.392413060107,407.8075363291141,-0.2188592963212952,-0.3599492818262482,-0.20709237752704102,0.565,0.0,False,0.4611101168364039
VelocityOnlyKNN,5,368.3593564120694,428.1648775003162,373.59099951003225,-0.1302864293755781,-0.26201147044852413,-0.10581293293542715,0.55,0.0,False,0.45416077504550034
VelocityOnlyKNN,10,340.4766319468224,396.86920490202255,343.91985312552566,-0.04473012537923826,-0.16976780481899345,-0.017987644183719675,0.615,0.0,False,0.5079492406166187
PermutationMinKNN,1,560.2830074334337,628.7831216209167,578.0199088830334,-0.7191915147210757,-0.8533316336986103,-0.7109135165871447,0.61,0.0,False,0.5184716344305493
PermutationMinKNN,3,371.392234364605,453.97253241090107,392.6403550291356,-0.13959261566359116,-0.33807926169913016,-0.16219818773207995,0.68,0.0,False,0.4985460084968736
PermutationMinKNN,5,337.10086010499106,416.57922228638006,352.1021549790899,-0.034371791770842375,-0.22786287363224655,-0.04220689792034471,0.72,0.0,False,0.5257589817818806
PermutationMinKNN,10,310.64460078374896,385.21751384914177,327.9505522145572,0.04680749786118088,-0.13542456806238423,0.029280784393110215,0.695,0.0,False,0.4987356099050529
