mechanism,num_objects,feature_dim,seed,swap_only,overall,conflict_a
CA-LOF_no_aug/combined,2,2,0,1.0000,1.0000,0.0000
CA-LOF_no_aug/feature,2,2,0,1.0000,1.0000,0.0000
CA-LOF_no_aug/trajectory,2,2,0,0.0000,0.0105,0.9810
CA-LOF_drop0.1/combined,2,2,0,1.0000,1.0000,0.0000
CA-LOF_drop0.1/feature,2,2,0,1.0000,1.0000,0.0000
CA-LOF_drop0.1/trajectory,2,2,0,0.0000,0.0105,0.9810
CA-LOF_conf0.3/combined,2,2,0,0.0106,0.0211,0.9333
CA-LOF_conf0.3/feature,2,2,0,1.0000,1.0000,0.0000
CA-LOF_conf0.3/trajectory,2,2,0,0.0000,0.0105,0.9810
CA-LOF_conf0.3_drop0.1/combined,2,2,0,0.0426,0.0526,0.9143
CA-LOF_conf0.3_drop0.1/feature,2,2,0,1.0000,1.0000,0.0000
CA-LOF_conf0.3_drop0.1/trajectory,2,2,0,0.0106,0.0211,0.9810
CA-LOF_conf0.5/combined,2,2,0,0.0106,0.0211,1.0000
CA-LOF_conf0.5/feature,2,2,0,0.0000,0.0000,0.0000
CA-LOF_conf0.5/trajectory,2,2,0,0.0106,0.0211,1.0000
CA-LOF_conf0.5_drop0.1/combined,2,2,0,0.0000,0.0105,1.0000
CA-LOF_conf0.5_drop0.1/feature,2,2,0,0.0000,0.0000,1.0000
CA-LOF_conf0.5_drop0.1/trajectory,2,2,0,0.0000,0.0105,0.9810
CFObjectFile_rule,2,2,0,0.5638,0.5684,0.7143
CA-LOF_no_aug/combined,2,2,42,1.0000,1.0000,0.0000
CA-LOF_no_aug/feature,2,2,42,1.0000,1.0000,0.0000
CA-LOF_no_aug/trajectory,2,2,42,0.0000,0.0000,0.9796
CA-LOF_drop0.1/combined,2,2,42,1.0000,1.0000,0.0000
CA-LOF_drop0.1/feature,2,2,42,1.0000,1.0000,0.0000
CA-LOF_drop0.1/trajectory,2,2,42,0.0110,0.0110,0.9898
CA-LOF_conf0.3/combined,2,2,42,0.0659,0.0659,0.9184
CA-LOF_conf0.3/feature,2,2,42,1.0000,1.0000,0.0000
CA-LOF_conf0.3/trajectory,2,2,42,0.0220,0.0220,1.0000
CA-LOF_conf0.3_drop0.1/combined,2,2,42,0.0769,0.0769,0.8878
CA-LOF_conf0.3_drop0.1/feature,2,2,42,1.0000,1.0000,0.0000
CA-LOF_conf0.3_drop0.1/trajectory,2,2,42,0.0000,0.0000,0.9694
CA-LOF_conf0.5/combined,2,2,42,0.0330,0.0330,0.9898
CA-LOF_conf0.5/feature,2,2,42,0.0000,0.0000,0.0000
CA-LOF_conf0.5/trajectory,2,2,42,0.0330,0.0330,0.9898
CA-LOF_conf0.5_drop0.1/combined,2,2,42,0.0000,0.0000,1.0000
CA-LOF_conf0.5_drop0.1/feature,2,2,42,0.0000,0.0000,1.0000
CA-LOF_conf0.5_drop0.1/trajectory,2,2,42,0.0220,0.0220,0.9898
CFObjectFile_rule,2,2,42,0.5275,0.5275,0.6020
CA-LOF_no_aug/combined,2,2,123,1.0000,1.0000,0.0000
CA-LOF_no_aug/feature,2,2,123,1.0000,1.0000,0.0000
CA-LOF_no_aug/trajectory,2,2,123,0.0190,0.0190,0.9825
CA-LOF_drop0.1/combined,2,2,123,1.0000,1.0000,0.0000
CA-LOF_drop0.1/feature,2,2,123,1.0000,1.0000,0.0000
CA-LOF_drop0.1/trajectory,2,2,123,0.0190,0.0190,0.9298
CA-LOF_conf0.3/combined,2,2,123,0.1143,0.1143,0.8509
CA-LOF_conf0.3/feature,2,2,123,1.0000,1.0000,0.0000
CA-LOF_conf0.3/trajectory,2,2,123,0.0571,0.0571,0.9737
CA-LOF_conf0.3_drop0.1/combined,2,2,123,0.1048,0.1048,0.8947
CA-LOF_conf0.3_drop0.1/feature,2,2,123,1.0000,1.0000,0.0000
CA-LOF_conf0.3_drop0.1/trajectory,2,2,123,0.0286,0.0286,0.9561
CA-LOF_conf0.5/combined,2,2,123,0.0381,0.0381,0.9912
CA-LOF_conf0.5/feature,2,2,123,0.0000,0.0000,0.0000
CA-LOF_conf0.5/trajectory,2,2,123,0.0381,0.0381,0.9912
CA-LOF_conf0.5_drop0.1/combined,2,2,123,0.0000,0.0000,1.0000
CA-LOF_conf0.5_drop0.1/feature,2,2,123,0.0000,0.0000,1.0000
CA-LOF_conf0.5_drop0.1/trajectory,2,2,123,0.0476,0.0476,0.9561
CFObjectFile_rule,2,2,123,0.6000,0.6000,0.6579
CA-LOF_no_aug/combined,3,16,0,1.0000,1.0000,0.0000
CA-LOF_no_aug/feature,3,16,0,1.0000,1.0000,0.0000
CA-LOF_no_aug/trajectory,3,16,0,0.0000,0.0097,0.9259
CA-LOF_drop0.1/combined,3,16,0,1.0000,1.0000,0.0000
CA-LOF_drop0.1/feature,3,16,0,1.0000,1.0000,0.0000
CA-LOF_drop0.1/trajectory,3,16,0,0.0000,0.0097,0.9074
CA-LOF_conf0.3/combined,3,16,0,0.0667,0.1068,0.7685
CA-LOF_conf0.3/feature,3,16,0,1.0000,1.0000,0.0000
CA-LOF_conf0.3/trajectory,3,16,0,0.0167,0.0291,0.8796
CA-LOF_conf0.3_drop0.1/combined,3,16,0,0.1000,0.1068,0.7593
CA-LOF_conf0.3_drop0.1/feature,3,16,0,1.0000,1.0000,0.0000
CA-LOF_conf0.3_drop0.1/trajectory,3,16,0,0.0000,0.0000,0.8426
CA-LOF_conf0.5/combined,3,16,0,0.0000,0.0388,0.8889
CA-LOF_conf0.5/feature,3,16,0,1.0000,1.0000,0.0000
CA-LOF_conf0.5/trajectory,3,16,0,0.0000,0.0097,0.9259
CA-LOF_conf0.5_drop0.1/combined,3,16,0,0.0333,0.0291,0.9167
CA-LOF_conf0.5_drop0.1/feature,3,16,0,1.0000,1.0000,0.0000
CA-LOF_conf0.5_drop0.1/trajectory,3,16,0,0.0000,0.0097,0.8704
CFObjectFile_rule,3,16,0,0.6333,0.5631,0.3889
CA-LOF_no_aug/combined,3,16,42,1.0000,1.0000,0.0000
CA-LOF_no_aug/feature,3,16,42,1.0000,1.0000,0.0000
CA-LOF_no_aug/trajectory,3,16,42,0.0267,0.0476,0.9700
CA-LOF_drop0.1/combined,3,16,42,1.0000,1.0000,0.0000
CA-LOF_drop0.1/feature,3,16,42,1.0000,1.0000,0.0000
CA-LOF_drop0.1/trajectory,3,16,42,0.0000,0.0095,0.9800
CA-LOF_conf0.3/combined,3,16,42,0.1600,0.1714,0.8300
CA-LOF_conf0.3/feature,3,16,42,1.0000,1.0000,0.0000
CA-LOF_conf0.3/trajectory,3,16,42,0.0133,0.0190,0.9700
CA-LOF_conf0.3_drop0.1/combined,3,16,42,0.1067,0.1143,0.7900
CA-LOF_conf0.3_drop0.1/feature,3,16,42,1.0000,1.0000,0.0000
CA-LOF_conf0.3_drop0.1/trajectory,3,16,42,0.0133,0.0286,0.9000
CA-LOF_conf0.5/combined,3,16,42,0.0667,0.0952,0.8800
CA-LOF_conf0.5/feature,3,16,42,1.0000,1.0000,0.0000
CA-LOF_conf0.5/trajectory,3,16,42,0.0133,0.0286,0.9300
CA-LOF_conf0.5_drop0.1/combined,3,16,42,0.0400,0.0667,0.9600
CA-LOF_conf0.5_drop0.1/feature,3,16,42,1.0000,1.0000,0.0000
CA-LOF_conf0.5_drop0.1/trajectory,3,16,42,0.0133,0.0190,0.9600
CFObjectFile_rule,3,16,42,0.4933,0.5238,0.3600
CA-LOF_no_aug/combined,3,16,123,1.0000,1.0000,0.0000
CA-LOF_no_aug/feature,3,16,123,1.0000,1.0000,0.0000
CA-LOF_no_aug/trajectory,3,16,123,0.0169,0.0194,0.9608
CA-LOF_drop0.1/combined,3,16,123,1.0000,1.0000,0.0000
CA-LOF_drop0.1/feature,3,16,123,1.0000,1.0000,0.0000
CA-LOF_drop0.1/trajectory,3,16,123,0.0000,0.0097,0.9412
CA-LOF_conf0.3/combined,3,16,123,0.0508,0.0680,0.8922
CA-LOF_conf0.3/feature,3,16,123,1.0000,1.0000,0.0000
CA-LOF_conf0.3/trajectory,3,16,123,0.0000,0.0097,0.9216
CA-LOF_conf0.3_drop0.1/combined,3,16,123,0.0508,0.0680,0.8922
CA-LOF_conf0.3_drop0.1/feature,3,16,123,1.0000,1.0000,0.0000
CA-LOF_conf0.3_drop0.1/trajectory,3,16,123,0.0000,0.0194,0.9510
CA-LOF_conf0.5/combined,3,16,123,0.0508,0.0583,0.9706
CA-LOF_conf0.5/feature,3,16,123,0.9831,0.9903,0.0000
CA-LOF_conf0.5/trajectory,3,16,123,0.0000,0.0194,0.9510
CA-LOF_conf0.5_drop0.1/combined,3,16,123,0.0508,0.0680,0.9902
CA-LOF_conf0.5_drop0.1/feature,3,16,123,1.0000,1.0000,0.0000
CA-LOF_conf0.5_drop0.1/trajectory,3,16,123,0.0339,0.0388,0.9510
CFObjectFile_rule,3,16,123,0.4915,0.5534,0.4118
