test_id,nearest_train_id,nn_distance,identity_correct,test_is_swap,train_is_swap,initial_position_gap,last_observed_position_gap,velocity_gap,occlusion_center_gap,swap_time_gap,prediction_mse,identity_label,predicted_identity_label
0,283,64.3679,1,1,NaN,14.1047,54.1838,2.2592,NaN,NaN,520.1349,"[1, 0]","[1, 0]"
1,603,64.9746,1,1,NaN,13.6530,53.8733,2.0197,NaN,NaN,487.0853,"[1, 0]","[1, 0]"
2,819,27.0139,1,0,NaN,7.9360,14.3707,2.5529,NaN,NaN,113.6276,"[0, 1]","[0, 1]"
3,790,44.3482,1,0,NaN,14.1797,16.1315,2.0739,NaN,NaN,236.1626,"[0, 1]","[0, 1]"
4,688,33.9267,1,0,NaN,10.0189,13.8338,1.4811,NaN,NaN,28.3037,"[0, 1]","[0, 1]"
5,237,50.5370,0,1,NaN,13.8165,21.9971,4.5643,NaN,NaN,279.5449,"[1, 0]","[0, 1]"
6,80,39.7199,1,1,NaN,18.6031,20.8454,3.7892,NaN,NaN,203.9686,"[1, 0]","[1, 0]"
7,720,40.6464,0,1,NaN,14.1550,16.4136,1.7973,NaN,NaN,105.8935,"[1, 0]","[0, 1]"
8,734,84.3492,1,1,NaN,4.5857,78.2979,4.4132,NaN,NaN,636.6345,"[1, 0]","[1, 0]"
9,308,31.8202,1,0,NaN,12.1278,10.0022,4.5714,NaN,NaN,131.8703,"[0, 1]","[0, 1]"
10,915,77.1584,0,1,NaN,20.6988,25.4236,3.6448,NaN,NaN,136.6519,"[1, 0]","[0, 1]"
11,4,43.4140,1,1,NaN,9.6518,34.4569,1.7729,NaN,NaN,208.7289,"[1, 0]","[1, 0]"
12,644,56.6504,0,1,NaN,18.0213,18.0830,2.8423,NaN,NaN,104.0980,"[1, 0]","[0, 1]"
13,597,33.7149,0,0,NaN,10.1489,13.4609,8.3303,NaN,NaN,412.2225,"[0, 1]","[1, 0]"
14,66,37.9150,0,1,NaN,5.5903,10.9234,2.6833,NaN,NaN,61.8561,"[1, 0]","[0, 1]"
15,729,48.1723,1,1,NaN,8.8445,26.7458,1.5226,NaN,NaN,120.5044,"[1, 0]","[1, 0]"
16,809,27.9780,1,0,NaN,14.8782,8.3570,2.3387,NaN,NaN,35.2721,"[0, 1]","[0, 1]"
17,406,79.4991,0,1,NaN,12.6323,42.0874,5.7945,NaN,NaN,213.6163,"[1, 0]","[0, 1]"
18,776,73.4517,1,1,NaN,17.4788,51.6719,2.3419,NaN,NaN,415.8831,"[1, 0]","[1, 0]"
19,770,71.6811,0,1,NaN,22.9159,53.5034,5.0972,NaN,NaN,497.2283,"[1, 0]","[0, 1]"
20,186,78.0135,0,1,NaN,18.2610,25.9394,1.4223,NaN,NaN,94.7801,"[1, 0]","[0, 1]"
21,535,33.0526,1,0,NaN,13.1316,13.4750,2.3532,NaN,NaN,61.5279,"[0, 1]","[0, 1]"
22,824,27.7609,1,0,NaN,12.0968,6.9584,2.3009,NaN,NaN,25.6779,"[0, 1]","[0, 1]"
23,905,30.6319,1,0,NaN,11.2642,12.6455,2.1497,NaN,NaN,72.5954,"[0, 1]","[0, 1]"
24,903,29.2755,1,0,NaN,8.7172,9.0857,0.8312,NaN,NaN,17.0907,"[0, 1]","[0, 1]"
25,462,46.1131,1,1,NaN,9.8878,40.6087,0.6352,NaN,NaN,493.4428,"[1, 0]","[1, 0]"
26,628,39.3839,1,0,NaN,13.2428,14.2274,1.2367,NaN,NaN,68.6497,"[0, 1]","[0, 1]"
27,276,29.8336,1,0,NaN,11.7173,11.2290,2.5686,NaN,NaN,80.7479,"[0, 1]","[0, 1]"
28,695,112.6963,0,1,NaN,20.9479,49.0041,6.6631,NaN,NaN,437.3416,"[1, 0]","[0, 1]"
29,371,47.5371,1,1,NaN,16.9703,10.7709,4.6763,NaN,NaN,212.5742,"[1, 0]","[1, 0]"
30,427,49.9633,1,1,NaN,18.0732,29.5121,3.7919,NaN,NaN,191.3640,"[1, 0]","[1, 0]"
