seed,feature_mode,split_name,model,identity_overall,identity_no_swap,identity_swap_only,swap_detect_recall,swap_false_positive_rate,balanced_identity,sample_count
0,featureless,identity_test_mixed,RawTrajectoryKNN,0.8000,0.9583,0.6383,0.6383,0.0417,0.7983,95
0,featureless,identity_test_mixed,RawDeltaKNN,0.5474,0.9583,0.1277,0.1277,0.0417,0.5430,95
0,featureless,identity_test_mixed,TranslationNormalizedKNN,0.7579,0.9792,0.5319,0.5319,0.0208,0.7555,95
0,featureless,identity_test_mixed,RandomIdentityBaseline,0.5158,0.5000,0.5319,0.5319,0.5000,0.5160,95
0,featureless,identity_test_mixed,FeatureAwareIdentityBaseline,0.5158,0.5000,0.5319,0.5319,0.5000,0.5160,95
0,featureless,identity_test_swap_only,RawTrajectoryKNN,0.6889,nan,0.6889,0.6889,nan,nan,90
0,featureless,identity_test_swap_only,RawDeltaKNN,0.1889,nan,0.1889,0.1889,nan,nan,90
0,featureless,identity_test_swap_only,TranslationNormalizedKNN,0.6667,nan,0.6667,0.6667,nan,nan,90
0,featureless,identity_test_swap_only,RandomIdentityBaseline,0.5333,nan,0.5333,0.5333,nan,nan,90
0,featureless,identity_test_swap_only,FeatureAwareIdentityBaseline,0.5333,nan,0.5333,0.5333,nan,nan,90
0,featureless,identity_test_no_swap_only,RawTrajectoryKNN,0.9423,0.9423,nan,nan,0.0577,nan,104
0,featureless,identity_test_no_swap_only,RawDeltaKNN,0.9712,0.9712,nan,nan,0.0288,nan,104
0,featureless,identity_test_no_swap_only,TranslationNormalizedKNN,0.9808,0.9808,nan,nan,0.0192,nan,104
0,featureless,identity_test_no_swap_only,RandomIdentityBaseline,0.4712,0.4712,nan,nan,0.5288,nan,104
0,featureless,identity_test_no_swap_only,FeatureAwareIdentityBaseline,0.4712,0.4712,nan,nan,0.5288,nan,104
0,feature_bearing,identity_test_mixed,RawTrajectoryKNN,0.8000,0.9583,0.6383,0.6383,0.0417,0.7983,95
0,feature_bearing,identity_test_mixed,RawDeltaKNN,0.5474,0.9583,0.1277,0.1277,0.0417,0.5430,95
0,feature_bearing,identity_test_mixed,TranslationNormalizedKNN,0.7579,0.9792,0.5319,0.5319,0.0208,0.7555,95
0,feature_bearing,identity_test_mixed,RandomIdentityBaseline,0.5158,0.5000,0.5319,0.5319,0.5000,0.5160,95
0,feature_bearing,identity_test_mixed,FeatureAwareIdentityBaseline,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,95
0,feature_bearing,identity_test_swap_only,RawTrajectoryKNN,0.6889,nan,0.6889,0.6889,nan,nan,90
0,feature_bearing,identity_test_swap_only,RawDeltaKNN,0.1889,nan,0.1889,0.1889,nan,nan,90
0,feature_bearing,identity_test_swap_only,TranslationNormalizedKNN,0.6667,nan,0.6667,0.6667,nan,nan,90
0,feature_bearing,identity_test_swap_only,RandomIdentityBaseline,0.5333,nan,0.5333,0.5333,nan,nan,90
0,feature_bearing,identity_test_swap_only,FeatureAwareIdentityBaseline,1.0000,nan,1.0000,1.0000,nan,nan,90
0,feature_bearing,identity_test_no_swap_only,RawTrajectoryKNN,0.9423,0.9423,nan,nan,0.0577,nan,104
0,feature_bearing,identity_test_no_swap_only,RawDeltaKNN,0.9712,0.9712,nan,nan,0.0288,nan,104
0,feature_bearing,identity_test_no_swap_only,TranslationNormalizedKNN,0.9808,0.9808,nan,nan,0.0192,nan,104
0,feature_bearing,identity_test_no_swap_only,RandomIdentityBaseline,0.4712,0.4712,nan,nan,0.5288,nan,104
0,feature_bearing,identity_test_no_swap_only,FeatureAwareIdentityBaseline,1.0000,1.0000,nan,nan,0.0000,nan,104
