seed,model,split_name,feature_mode,identity_overall,identity_no_swap,identity_swap_only,swap_detect_recall,swap_false_positive_rate,balanced_identity,sample_count
0,LastVelocityBaseline,identity_test_mixed,feature_bearing,0.7736,1.0000,0.0400,0.0400,0.0000,0.5200,106
0,RawTrajectoryKNN,identity_test_mixed,feature_bearing,0.8679,0.9506,0.6000,0.6000,0.0494,0.7753,106
0,RawDeltaKNN,identity_test_mixed,feature_bearing,0.8019,0.9877,0.2000,0.2000,0.0123,0.5938,106
0,TranslationNormalizedKNN,identity_test_mixed,feature_bearing,0.8396,0.9753,0.4000,0.4000,0.0247,0.6877,106
0,FeatureAwareIdentityBaseline,identity_test_mixed,feature_bearing,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,106
0,RandomIdentityBaseline,identity_test_mixed,feature_bearing,0.5189,0.4938,0.6000,0.6000,0.5062,0.5469,106
0,MLPPositionOnly,identity_test_mixed,feature_bearing,0.7642,1.0000,0.0000,0.0000,0.0000,0.5000,106
0,MLPPositionFeature,identity_test_mixed,feature_bearing,0.7642,1.0000,0.0000,0.0000,0.0000,0.5000,106
0,ObjectCentricFeatureModel,identity_test_mixed,feature_bearing,0.7642,1.0000,0.0000,0.0000,0.0000,0.5000,106
0,LastVelocityBaseline,identity_test_swap_only,feature_bearing,0.0385,nan,0.0385,0.0385,nan,nan,104
0,RawTrajectoryKNN,identity_test_swap_only,feature_bearing,0.3846,nan,0.3846,0.3846,nan,nan,104
0,RawDeltaKNN,identity_test_swap_only,feature_bearing,0.1250,nan,0.1250,0.1250,nan,nan,104
0,TranslationNormalizedKNN,identity_test_swap_only,feature_bearing,0.3558,nan,0.3558,0.3558,nan,nan,104
0,FeatureAwareIdentityBaseline,identity_test_swap_only,feature_bearing,1.0000,nan,1.0000,1.0000,nan,nan,104
0,RandomIdentityBaseline,identity_test_swap_only,feature_bearing,0.5288,nan,0.5288,0.5288,nan,nan,104
0,MLPPositionOnly,identity_test_swap_only,feature_bearing,0.0000,nan,0.0000,0.0000,nan,nan,104
0,MLPPositionFeature,identity_test_swap_only,feature_bearing,0.0000,nan,0.0000,0.0000,nan,nan,104
0,ObjectCentricFeatureModel,identity_test_swap_only,feature_bearing,0.0000,nan,0.0000,0.0000,nan,nan,104
0,LastVelocityBaseline,identity_test_no_swap_only,feature_bearing,1.0000,1.0000,nan,nan,0.0000,nan,109
0,RawTrajectoryKNN,identity_test_no_swap_only,feature_bearing,0.9725,0.9725,nan,nan,0.0275,nan,109
0,RawDeltaKNN,identity_test_no_swap_only,feature_bearing,0.9908,0.9908,nan,nan,0.0092,nan,109
0,TranslationNormalizedKNN,identity_test_no_swap_only,feature_bearing,0.9817,0.9817,nan,nan,0.0183,nan,109
0,FeatureAwareIdentityBaseline,identity_test_no_swap_only,feature_bearing,1.0000,1.0000,nan,nan,0.0000,nan,109
0,RandomIdentityBaseline,identity_test_no_swap_only,feature_bearing,0.4679,0.4679,nan,nan,0.5321,nan,109
0,MLPPositionOnly,identity_test_no_swap_only,feature_bearing,1.0000,1.0000,nan,nan,0.0000,nan,109
0,MLPPositionFeature,identity_test_no_swap_only,feature_bearing,1.0000,1.0000,nan,nan,0.0000,nan,109
0,ObjectCentricFeatureModel,identity_test_no_swap_only,feature_bearing,1.0000,1.0000,nan,nan,0.0000,nan,109
