seed,model,epoch,train_loss,mse_loss,identity_loss,val_clean_skill
0,MLPPositionOnly,1,494.3137,494.3137,0.0000,0.0913
0,MLPPositionOnly,2,188.3643,188.3643,0.0000,0.1877
0,MLPPositionOnly,3,143.4488,143.4488,0.0000,0.4128
0,MLPPositionOnly,4,111.3737,111.3737,0.0000,0.5707
0,MLPPositionOnly,5,94.5831,94.5831,0.0000,0.6029
0,MLPPositionOnly,6,84.9223,84.9223,0.0000,0.6678
0,MLPPositionOnly,7,74.0048,74.0048,0.0000,0.7334
0,MLPPositionOnly,8,62.4629,62.4629,0.0000,0.7876
0,MLPPositionOnly,9,54.5093,54.5093,0.0000,0.8301
0,MLPPositionOnly,10,49.9348,49.9348,0.0000,0.8467
0,MLPPositionOnly,11,45.5180,45.5180,0.0000,0.8574
0,MLPPositionOnly,12,44.2899,44.2899,0.0000,0.8589
0,MLPPositionOnly,13,43.7101,43.7101,0.0000,0.8620
0,MLPPositionOnly,14,40.6438,40.6438,0.0000,0.8748
0,MLPPositionOnly,15,38.4483,38.4483,0.0000,0.8787
0,MLPPositionOnly,16,38.1135,38.1135,0.0000,0.8541
0,MLPPositionOnly,17,36.5395,36.5395,0.0000,0.8787
0,MLPPositionOnly,18,36.3690,36.3690,0.0000,0.8668
0,MLPPositionOnly,19,36.9735,36.9735,0.0000,0.8687
0,MLPPositionOnly,20,34.7541,34.7541,0.0000,0.8869
0,MLPPositionFeature,1,549.7201,549.7014,0.0187,0.0817
0,MLPPositionFeature,2,196.4320,196.4320,0.0000,0.0725
0,MLPPositionFeature,3,155.0843,155.0843,0.0000,0.3100
0,MLPPositionFeature,4,122.2086,122.2086,0.0000,0.5033
0,MLPPositionFeature,5,102.5653,102.5653,0.0000,0.5623
0,MLPPositionFeature,6,90.4218,90.4218,0.0000,0.6335
0,MLPPositionFeature,7,81.1392,81.1392,0.0000,0.6735
0,MLPPositionFeature,8,70.8702,70.8702,0.0000,0.7285
0,MLPPositionFeature,9,62.5270,62.5270,0.0000,0.7600
0,MLPPositionFeature,10,53.0941,53.0941,0.0000,0.8180
0,MLPPositionFeature,11,47.4087,47.4087,0.0000,0.8404
0,MLPPositionFeature,12,42.8132,42.8132,0.0000,0.8645
0,MLPPositionFeature,13,39.1856,39.1856,0.0000,0.8690
0,MLPPositionFeature,14,38.8553,38.8553,0.0000,0.8691
0,MLPPositionFeature,15,37.1971,37.1971,0.0000,0.8768
0,MLPPositionFeature,16,34.9459,34.9459,0.0000,0.8851
0,MLPPositionFeature,17,34.1087,34.1087,0.0000,0.8856
0,MLPPositionFeature,18,33.2620,33.2620,0.0000,0.8856
0,MLPPositionFeature,19,31.8489,31.8489,0.0000,0.8896
0,MLPPositionFeature,20,31.3824,31.3824,0.0000,0.8887
0,ObjectCentricFeatureModel,1,809.0371,808.9893,0.0478,-0.4860
0,ObjectCentricFeatureModel,2,209.0556,209.0556,0.0000,0.1250
0,ObjectCentricFeatureModel,3,149.8761,149.8761,0.0000,0.2895
0,ObjectCentricFeatureModel,4,128.5369,128.5369,0.0000,0.3964
0,ObjectCentricFeatureModel,5,105.9999,105.9999,0.0000,0.5084
0,ObjectCentricFeatureModel,6,85.9166,85.9166,0.0000,0.6343
0,ObjectCentricFeatureModel,7,69.3266,69.3266,0.0000,0.7042
0,ObjectCentricFeatureModel,8,53.9732,53.9732,0.0000,0.7942
0,ObjectCentricFeatureModel,9,41.6176,41.6176,0.0000,0.8335
0,ObjectCentricFeatureModel,10,35.4623,35.4623,0.0000,0.8447
0,ObjectCentricFeatureModel,11,32.3123,32.3123,0.0000,0.8613
0,ObjectCentricFeatureModel,12,29.9902,29.9902,0.0000,0.8650
0,ObjectCentricFeatureModel,13,27.9404,27.9404,0.0000,0.8795
0,ObjectCentricFeatureModel,14,26.0589,26.0589,0.0000,0.8849
0,ObjectCentricFeatureModel,15,24.2344,24.2344,0.0000,0.8884
0,ObjectCentricFeatureModel,16,23.1440,23.1440,0.0000,0.8971
0,ObjectCentricFeatureModel,17,21.8001,21.8001,0.0000,0.9034
0,ObjectCentricFeatureModel,18,21.9125,21.9125,0.0000,0.8940
0,ObjectCentricFeatureModel,19,20.9103,20.9103,0.0000,0.9084
0,ObjectCentricFeatureModel,20,19.9950,19.9950,0.0000,0.9073
