seed,swap_ratio,model,clean_skill,identity_swap_only,identity_overall_mixed,no_swap_bias_gap,ood_skill
0,0.0,MLPPositionFeature,0.0054,0.0000,0.7642,0.7642,0.6218
0,0.0,ObjectCentricFeatureModel,-0.5958,0.0000,0.7642,0.7642,0.5067
0,0.1,MLPPositionFeature,0.6726,0.6154,0.8962,0.3362,0.7154
0,0.1,ObjectCentricFeatureModel,0.5692,0.8750,0.9340,0.2140,0.7046
0,0.3,MLPPositionFeature,0.6944,0.4615,0.8585,0.4585,0.6879
0,0.3,ObjectCentricFeatureModel,0.6049,0.7115,0.9057,0.3057,0.7075
0,0.5,MLPPositionFeature,0.6946,0.4519,0.8491,0.4891,0.6962
0,0.5,ObjectCentricFeatureModel,0.5667,0.9808,0.9057,0.0257,0.7229
1,0.0,MLPPositionFeature,0.0890,0.0000,0.7383,0.7383,0.6674
1,0.0,ObjectCentricFeatureModel,-0.5330,0.0000,0.7383,0.7383,0.6532
1,0.1,MLPPositionFeature,0.6994,0.6083,0.9159,0.2373,0.7002
1,0.1,ObjectCentricFeatureModel,0.6318,0.7917,0.8972,0.2186,0.7146
1,0.3,MLPPositionFeature,0.6792,0.4417,0.8785,0.3428,0.6920
1,0.3,ObjectCentricFeatureModel,0.6191,0.7000,0.9439,0.1582,0.7118
1,0.5,MLPPositionFeature,0.6898,0.4750,0.8692,0.3692,0.6841
1,0.5,ObjectCentricFeatureModel,0.6239,0.8583,0.9346,0.0774,0.6983
2,0.0,MLPPositionFeature,0.1093,0.0000,0.8058,0.8058,0.6677
2,0.0,ObjectCentricFeatureModel,-0.5850,0.0000,0.8058,0.8058,0.7020
2,0.1,MLPPositionFeature,0.7005,0.5946,0.8738,0.4238,0.7063
2,0.1,ObjectCentricFeatureModel,0.6235,0.9279,0.9029,0.0529,0.7192
2,0.3,MLPPositionFeature,0.6976,0.2793,0.8738,0.5238,0.7042
2,0.3,ObjectCentricFeatureModel,0.6052,0.9640,0.8932,0.0432,0.7425
2,0.5,MLPPositionFeature,0.7077,0.6847,0.9126,0.3626,0.6972
2,0.5,ObjectCentricFeatureModel,0.6257,0.8829,0.9320,0.0820,0.7409
