swap_ratio,model,clean_skill,identity_overall,identity_no_swap,identity_swap_only,balanced_identity,no_swap_bias_gap,no_swap_bias_flag
0.0,MLPPositionFeature,0.6872,0.7642,1.0000,0.0000,0.5000,0.7642,True
0.0,ObjectCentricFeatureModel,0.5040,0.7642,1.0000,0.0000,0.5000,0.7642,True
0.1,MLPPositionFeature,0.7768,0.8679,1.0000,0.4400,0.7200,0.4279,True
0.1,ObjectCentricFeatureModel,0.7609,0.9151,1.0000,0.6400,0.8200,0.2751,True
0.3,MLPPositionFeature,0.7820,0.8585,1.0000,0.4000,0.7000,0.4585,True
0.3,ObjectCentricFeatureModel,0.7666,0.9151,0.9383,0.8400,0.8891,0.0751,False
0.5,MLPPositionFeature,0.7796,0.8774,1.0000,0.4800,0.7400,0.3974,True
0.5,ObjectCentricFeatureModel,0.7592,0.9245,0.9630,0.8000,0.8815,0.1245,True
N/A,RawDeltaKNN,0.7287,0.8019,0.9877,0.2000,0.5938,0.6019,True
N/A,FeatureAwareBaseline,nan,1.0000,1.0000,1.0000,1.0000,nan,False
