swap_ratio,model,split_name,identity_overall,identity_no_swap,identity_swap_only,swap_detect_recall,swap_false_positive_rate,balanced_identity,sample_count
0.0,MLPPositionFeature,identity_test_mixed,0.7642,1.0000,0.0000,0.0000,0.0000,0.5000,106
0.0,MLPPositionFeature,identity_test_swap_only,0.0000,nan,0.0000,0.0000,nan,nan,104
0.0,MLPPositionFeature,identity_test_no_swap_only,1.0000,1.0000,nan,nan,0.0000,nan,109
0.0,ObjectCentricFeatureModel,identity_test_mixed,0.7642,1.0000,0.0000,0.0000,0.0000,0.5000,106
0.0,ObjectCentricFeatureModel,identity_test_swap_only,0.0000,nan,0.0000,0.0000,nan,nan,104
0.0,ObjectCentricFeatureModel,identity_test_no_swap_only,1.0000,1.0000,nan,nan,0.0000,nan,109
0.1,MLPPositionFeature,identity_test_mixed,0.8679,1.0000,0.4400,0.4400,0.0000,0.7200,106
0.1,MLPPositionFeature,identity_test_swap_only,0.5288,nan,0.5288,0.5288,nan,nan,104
0.1,MLPPositionFeature,identity_test_no_swap_only,1.0000,1.0000,nan,nan,0.0000,nan,109
0.1,ObjectCentricFeatureModel,identity_test_mixed,0.9151,1.0000,0.6400,0.6400,0.0000,0.8200,106
0.1,ObjectCentricFeatureModel,identity_test_swap_only,0.7019,nan,0.7019,0.7019,nan,nan,104
0.1,ObjectCentricFeatureModel,identity_test_no_swap_only,0.9908,0.9908,nan,nan,0.0092,nan,109
0.3,MLPPositionFeature,identity_test_mixed,0.8585,1.0000,0.4000,0.4000,0.0000,0.7000,106
0.3,MLPPositionFeature,identity_test_swap_only,0.4615,nan,0.4615,0.4615,nan,nan,104
0.3,MLPPositionFeature,identity_test_no_swap_only,1.0000,1.0000,nan,nan,0.0000,nan,109
0.3,ObjectCentricFeatureModel,identity_test_mixed,0.9151,0.9383,0.8400,0.8400,0.0617,0.8891,106
0.3,ObjectCentricFeatureModel,identity_test_swap_only,0.9904,nan,0.9904,0.9904,nan,nan,104
0.3,ObjectCentricFeatureModel,identity_test_no_swap_only,0.9450,0.9450,nan,nan,0.0550,nan,109
0.5,MLPPositionFeature,identity_test_mixed,0.8774,1.0000,0.4800,0.4800,0.0000,0.7400,106
0.5,MLPPositionFeature,identity_test_swap_only,0.5385,nan,0.5385,0.5385,nan,nan,104
0.5,MLPPositionFeature,identity_test_no_swap_only,1.0000,1.0000,nan,nan,0.0000,nan,109
0.5,ObjectCentricFeatureModel,identity_test_mixed,0.9245,0.9630,0.8000,0.8000,0.0370,0.8815,106
0.5,ObjectCentricFeatureModel,identity_test_swap_only,0.8942,nan,0.8942,0.8942,nan,nan,104
0.5,ObjectCentricFeatureModel,identity_test_no_swap_only,0.9633,0.9633,nan,nan,0.0367,nan,109
