swap_ratio,model,epoch,train_loss,mse_loss,identity_loss,val_clean_skill
0.0,MLPPositionFeature,1,534.9553,534.5932,0.3622,0.0748
0.0,MLPPositionFeature,2,195.4953,195.4953,0.0000,0.1073
0.0,MLPPositionFeature,3,153.7248,153.7248,0.0000,0.3513
0.0,MLPPositionFeature,4,121.1600,121.1600,0.0000,0.5227
0.0,MLPPositionFeature,5,101.5047,101.5047,0.0000,0.6000
0.0,MLPPositionFeature,6,88.5045,88.5045,0.0000,0.6451
0.0,MLPPositionFeature,7,78.7341,78.7341,0.0000,0.6913
0.0,MLPPositionFeature,8,66.9319,66.9319,0.0000,0.7503
0.0,MLPPositionFeature,9,57.5857,57.5857,0.0000,0.8020
0.0,MLPPositionFeature,10,49.8044,49.8044,0.0000,0.8229
0.0,MLPPositionFeature,11,45.7252,45.7252,0.0000,0.8499
0.0,MLPPositionFeature,12,41.5959,41.5959,0.0000,0.8649
0.0,MLPPositionFeature,13,39.1911,39.1911,0.0000,0.8697
0.0,MLPPositionFeature,14,38.3435,38.3435,0.0000,0.8378
0.0,MLPPositionFeature,15,38.6709,38.6709,0.0000,0.8750
0.0,MLPPositionFeature,16,35.3366,35.3366,0.0000,0.8752
0.0,MLPPositionFeature,17,34.1286,34.1286,0.0000,0.8807
0.0,MLPPositionFeature,18,33.3151,33.3150,0.0000,0.8834
0.0,MLPPositionFeature,19,31.2388,31.2388,0.0000,0.8868
0.0,MLPPositionFeature,20,31.4015,31.4015,0.0000,0.8896
0.0,ObjectCentricFeatureModel,1,818.2816,818.2045,0.0771,-0.5720
0.0,ObjectCentricFeatureModel,2,219.0930,219.0930,0.0000,0.0863
0.0,ObjectCentricFeatureModel,3,159.4794,159.4794,0.0000,0.2682
0.0,ObjectCentricFeatureModel,4,139.3922,139.3922,0.0000,0.3155
0.0,ObjectCentricFeatureModel,5,120.5388,120.5388,0.0000,0.4634
0.0,ObjectCentricFeatureModel,6,93.4959,93.4959,0.0000,0.6007
0.0,ObjectCentricFeatureModel,7,72.2160,72.2160,0.0000,0.6983
0.0,ObjectCentricFeatureModel,8,54.2840,54.2840,0.0000,0.7851
0.0,ObjectCentricFeatureModel,9,40.9353,40.9353,0.0000,0.8258
0.0,ObjectCentricFeatureModel,10,33.9138,33.9138,0.0000,0.8507
0.0,ObjectCentricFeatureModel,11,30.2649,30.2649,0.0000,0.8724
0.0,ObjectCentricFeatureModel,12,27.3693,27.3693,0.0000,0.8778
0.0,ObjectCentricFeatureModel,13,24.5812,24.5812,0.0000,0.8919
0.0,ObjectCentricFeatureModel,14,22.7572,22.7572,0.0000,0.8968
0.0,ObjectCentricFeatureModel,15,21.4042,21.4042,0.0000,0.8935
0.0,ObjectCentricFeatureModel,16,20.5564,20.5564,0.0000,0.9068
0.0,ObjectCentricFeatureModel,17,19.4095,19.4095,0.0000,0.9100
0.0,ObjectCentricFeatureModel,18,18.8217,18.8217,0.0000,0.9085
0.0,ObjectCentricFeatureModel,19,17.7811,17.7811,0.0000,0.9143
0.0,ObjectCentricFeatureModel,20,17.2668,17.2668,0.0000,0.9155
0.1,MLPPositionFeature,1,563.8900,562.6849,1.2052,0.0815
0.1,MLPPositionFeature,2,189.9453,188.7640,1.1813,0.0736
0.1,MLPPositionFeature,3,160.6337,159.5786,1.0551,0.2088
0.1,MLPPositionFeature,4,137.5320,136.4569,1.0750,0.4048
0.1,MLPPositionFeature,5,118.7125,117.7191,0.9934,0.5199
0.1,MLPPositionFeature,6,103.4098,102.4003,1.0095,0.5990
0.1,MLPPositionFeature,7,89.9809,89.0259,0.9550,0.6655
0.1,MLPPositionFeature,8,80.0984,79.2125,0.8859,0.7101
0.1,MLPPositionFeature,9,74.2249,73.3568,0.8681,0.7279
0.1,MLPPositionFeature,10,67.0566,66.2943,0.7623,0.7612
0.1,MLPPositionFeature,11,63.3485,62.6375,0.7109,0.7784
0.1,MLPPositionFeature,12,58.4938,57.8285,0.6653,0.7984
0.1,MLPPositionFeature,13,55.9053,55.2608,0.6446,0.8156
0.1,MLPPositionFeature,14,53.1100,52.4958,0.6142,0.7798
0.1,MLPPositionFeature,15,52.4435,51.9062,0.5372,0.8258
0.1,MLPPositionFeature,16,50.2208,49.6488,0.5720,0.8278
0.1,MLPPositionFeature,17,49.1189,48.5855,0.5334,0.8215
0.1,MLPPositionFeature,18,47.4634,46.9479,0.5155,0.8425
0.1,MLPPositionFeature,19,46.5771,46.1089,0.4682,0.8406
0.1,MLPPositionFeature,20,45.4204,44.9254,0.4950,0.8477
0.1,ObjectCentricFeatureModel,1,851.6234,850.9490,0.6744,-0.2532
0.1,ObjectCentricFeatureModel,2,230.1884,229.5818,0.6065,0.0613
0.1,ObjectCentricFeatureModel,3,169.6910,169.1957,0.4953,0.2534
0.1,ObjectCentricFeatureModel,4,143.9720,143.4953,0.4768,0.3317
0.1,ObjectCentricFeatureModel,5,122.9711,122.5417,0.4294,0.4436
0.1,ObjectCentricFeatureModel,6,99.9786,99.5901,0.3885,0.5879
0.1,ObjectCentricFeatureModel,7,80.2676,79.9074,0.3602,0.6769
0.1,ObjectCentricFeatureModel,8,64.4370,64.0965,0.3405,0.7725
0.1,ObjectCentricFeatureModel,9,56.9062,56.5389,0.3673,0.8093
0.1,ObjectCentricFeatureModel,10,53.5265,53.2367,0.2898,0.8198
