lambda_bind,model,feature_mode,identity_swap_only,assignment_accuracy,clean_skill
0.0,MLPFeatureBinding,normal,0.3462,0.3462,0.6984
0.0,MLPFeatureBinding,shuffled,0.3462,0.3462,0.6968
0.0,MLPFeatureBinding,zero,0.4231,0.4231,0.5120
0.0,MLPFeatureBinding,random_wrong,0.3846,0.3846,0.6796
0.0,ObjectCentricFeatureBinding,normal,0.7788,0.7788,0.5593
0.0,ObjectCentricFeatureBinding,shuffled,0.7788,0.7788,0.5565
0.0,ObjectCentricFeatureBinding,zero,0.7308,0.7308,0.5493
0.0,ObjectCentricFeatureBinding,random_wrong,0.7500,0.7500,0.5868
0.1,MLPFeatureBinding,normal,0.5000,0.5000,0.6975
0.1,MLPFeatureBinding,shuffled,0.5192,0.5192,0.6982
0.1,MLPFeatureBinding,zero,0.5288,0.5288,0.5352
0.1,MLPFeatureBinding,random_wrong,0.5192,0.5192,0.6865
0.1,ObjectCentricFeatureBinding,normal,0.7981,0.7981,0.5956
0.1,ObjectCentricFeatureBinding,shuffled,0.7885,0.7885,0.5942
0.1,ObjectCentricFeatureBinding,zero,0.7404,0.7404,0.5190
0.1,ObjectCentricFeatureBinding,random_wrong,0.7788,0.7788,0.6028
1.0,MLPFeatureBinding,normal,0.4038,0.4038,0.6598
1.0,MLPFeatureBinding,shuffled,0.4038,0.4038,0.6605
1.0,MLPFeatureBinding,zero,0.4519,0.4519,0.4728
1.0,MLPFeatureBinding,random_wrong,0.4231,0.4231,0.6395
1.0,ObjectCentricFeatureBinding,normal,0.9038,0.9038,0.6136
1.0,ObjectCentricFeatureBinding,shuffled,0.9135,0.9135,0.6116
1.0,ObjectCentricFeatureBinding,zero,0.8462,0.8462,0.4602
1.0,ObjectCentricFeatureBinding,random_wrong,0.8750,0.8750,0.6192
5.0,MLPFeatureBinding,normal,0.4615,0.4615,0.6906
5.0,MLPFeatureBinding,shuffled,0.4519,0.4519,0.6895
5.0,MLPFeatureBinding,zero,0.5000,0.5000,0.5585
5.0,MLPFeatureBinding,random_wrong,0.4808,0.4808,0.6863
5.0,ObjectCentricFeatureBinding,normal,0.8462,0.8462,0.5557
5.0,ObjectCentricFeatureBinding,shuffled,0.8462,0.8462,0.5564
5.0,ObjectCentricFeatureBinding,zero,0.6154,0.6154,0.4502
5.0,ObjectCentricFeatureBinding,random_wrong,0.7885,0.7885,0.5693
