beta,feature_mode,traj_swap_only,traj_overall,feat_swap_only,feat_overall,hybrid_swap_only,hybrid_overall
0.0,normal,0.6538,0.6538,0.7500,0.7500,0.6538,0.6538
0.0,shuffled,0.6538,0.6538,0.3654,0.3654,0.6538,0.6538
0.0,zero,0.7019,0.7019,0.0000,0.0000,0.7019,0.7019
0.0,random_wrong,0.6635,0.6635,0.2788,0.2788,0.6635,0.6635
1.0,normal,0.4231,0.4231,0.7500,0.7500,0.8173,0.8173
1.0,shuffled,0.4135,0.4135,0.3654,0.3654,0.5385,0.5385
1.0,zero,0.4615,0.4615,0.0000,0.0000,0.4615,0.4615
1.0,random_wrong,0.4327,0.4327,0.2692,0.2692,0.3558,0.3558
2.0,normal,0.8173,0.8173,0.7500,0.7500,0.9615,0.9615
2.0,shuffled,0.8173,0.8173,0.3654,0.3654,0.7212,0.7212
2.0,zero,0.8654,0.8654,0.0096,0.0096,0.8654,0.8654
2.0,random_wrong,0.8077,0.8077,0.2692,0.2692,0.6058,0.6058
5.0,normal,1.0000,1.0000,0.7500,0.7500,1.0000,1.0000
5.0,shuffled,1.0000,1.0000,0.3654,0.3654,0.7981,0.7981
5.0,zero,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000
5.0,random_wrong,1.0000,1.0000,0.2500,0.2500,0.7788,0.7788
0.0,dep_score,0.0000,,0.3846,,0.0000,
1.0,dep_score,0.0096,,0.3846,,0.2788,
2.0,dep_score,0.0000,,0.3846,,0.2403,
5.0,dep_score,0.0000,,0.3846,,0.2019,
