model,beta,feature_mode,identity_swap_only,assignment_accuracy,clean_skill
FeatureOnlyAssignmentHead,N/A,normal,0.7500,0.7500,0.6772
FeatureOnlyAssignmentHead,N/A,shuffled,0.3654,0.3654,0.6764
FeatureOnlyAssignmentHead,N/A,zero,0.0000,0.0000,0.5138
FeatureOnlyAssignmentHead,N/A,random_wrong,0.2500,0.2500,0.6608
HybridTrajectoryFeatureAssignmentHead,0.0,normal,0.6346,0.6346,0.6902
HybridTrajectoryFeatureAssignmentHead,0.0,shuffled,0.6442,0.6442,0.6897
HybridTrajectoryFeatureAssignmentHead,0.0,zero,0.6154,0.6154,0.4836
HybridTrajectoryFeatureAssignmentHead,0.0,random_wrong,0.6250,0.6250,0.6652
HybridTrajectoryFeatureAssignmentHead,0.5,normal,0.5962,0.5962,0.6706
HybridTrajectoryFeatureAssignmentHead,0.5,shuffled,0.4808,0.4808,0.6711
HybridTrajectoryFeatureAssignmentHead,0.5,zero,0.4423,0.4423,0.5836
HybridTrajectoryFeatureAssignmentHead,0.5,random_wrong,0.3654,0.3654,0.6802
HybridTrajectoryFeatureAssignmentHead,1.0,normal,0.9519,0.9519,0.6666
HybridTrajectoryFeatureAssignmentHead,1.0,shuffled,0.6827,0.6827,0.6672
HybridTrajectoryFeatureAssignmentHead,1.0,zero,0.7308,0.7308,0.4781
HybridTrajectoryFeatureAssignmentHead,1.0,random_wrong,0.6442,0.6442,0.6457
HybridTrajectoryFeatureAssignmentHead,2.0,normal,0.9808,0.9808,0.6828
HybridTrajectoryFeatureAssignmentHead,2.0,shuffled,0.6827,0.6827,0.6827
HybridTrajectoryFeatureAssignmentHead,2.0,zero,0.7212,0.7212,0.5414
HybridTrajectoryFeatureAssignmentHead,2.0,random_wrong,0.5192,0.5192,0.6775
HybridTrajectoryFeatureAssignmentHead,5.0,normal,1.0000,1.0000,0.6854
HybridTrajectoryFeatureAssignmentHead,5.0,shuffled,0.7981,0.7981,0.6849
HybridTrajectoryFeatureAssignmentHead,5.0,zero,1.0000,1.0000,0.5474
HybridTrajectoryFeatureAssignmentHead,5.0,random_wrong,0.7981,0.7981,0.6770
