seed,model,feature_mode,split_name,clean_skill,identity_overall,identity_no_swap,identity_swap_only,balanced_identity,swap_detect_recall,swap_false_positive_rate,no_swap_bias_gap,no_swap_bias_flag
0,LastVelocityBaseline,feature_bearing,identity_test_mixed,-25.2114,0.7736,1.0000,0.0400,0.5200,0.0400,0.0000,0.7336,True
0,RawTrajectoryKNN,feature_bearing,identity_test_mixed,0.4890,0.8679,0.9506,0.6000,0.7753,0.6000,0.0494,0.2679,True
0,RawDeltaKNN,feature_bearing,identity_test_mixed,0.7287,0.8019,0.9877,0.2000,0.5938,0.2000,0.0123,0.6019,True
0,TranslationNormalizedKNN,feature_bearing,identity_test_mixed,0.4826,0.8396,0.9753,0.4000,0.6877,0.4000,0.0247,0.4396,True
0,FeatureAwareIdentityBaseline,feature_bearing,identity_test_mixed,nan,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,False
0,RandomIdentityBaseline,feature_bearing,identity_test_mixed,0.0000,0.5189,0.4938,0.6000,0.5469,0.6000,0.5062,-0.0811,False
0,LastVelocityBaseline,feature_bearing,identity_test_swap_only,-77.3011,0.0385,nan,0.0385,nan,0.0385,nan,0.0000,False
0,RawTrajectoryKNN,feature_bearing,identity_test_swap_only,0.2634,0.3846,nan,0.3846,nan,0.3846,nan,0.0000,False
0,RawDeltaKNN,feature_bearing,identity_test_swap_only,0.2500,0.1250,nan,0.1250,nan,0.1250,nan,0.0000,False
0,TranslationNormalizedKNN,feature_bearing,identity_test_swap_only,0.2106,0.3558,nan,0.3558,nan,0.3558,nan,0.0000,False
0,FeatureAwareIdentityBaseline,feature_bearing,identity_test_swap_only,nan,1.0000,nan,1.0000,nan,1.0000,nan,0.0000,False
0,RandomIdentityBaseline,feature_bearing,identity_test_swap_only,0.0000,0.5288,nan,0.5288,nan,0.5288,nan,0.0000,False
0,LastVelocityBaseline,feature_bearing,identity_test_no_swap_only,0.6342,1.0000,1.0000,nan,nan,nan,0.0000,nan,False
0,RawTrajectoryKNN,feature_bearing,identity_test_no_swap_only,0.6447,0.9725,0.9725,nan,nan,nan,0.0275,nan,False
0,RawDeltaKNN,feature_bearing,identity_test_no_swap_only,0.8617,0.9908,0.9908,nan,nan,nan,0.0092,nan,False
0,TranslationNormalizedKNN,feature_bearing,identity_test_no_swap_only,0.6252,0.9817,0.9817,nan,nan,nan,0.0183,nan,False
0,FeatureAwareIdentityBaseline,feature_bearing,identity_test_no_swap_only,nan,1.0000,1.0000,nan,nan,nan,0.0000,nan,False
0,RandomIdentityBaseline,feature_bearing,identity_test_no_swap_only,0.0000,0.4679,0.4679,nan,nan,nan,0.5321,nan,False
0,LastVelocityBaseline,featureless,featureless_control_test,-30.7618,0.7647,1.0000,0.0400,0.5200,0.0400,0.0000,0.7247,True
0,RawTrajectoryKNN,featureless,featureless_control_test,0.5144,0.8431,0.9740,0.4400,0.7070,0.4400,0.0260,0.4031,True
0,RawDeltaKNN,featureless,featureless_control_test,0.7157,0.7745,1.0000,0.0800,0.5400,0.0800,0.0000,0.6945,True
0,TranslationNormalizedKNN,featureless,featureless_control_test,0.5289,0.8235,0.9870,0.3200,0.6535,0.3200,0.0130,0.5035,True
