mechanism,feature_noise_std,identity_under_feature_noise
FeatureOnly,0.0,1.0000
TrajectoryOnly,0.0,0.1442
Hybrid_b1.0,0.0,1.0000
ObjectFile_v4,0.0,0.0962
ImprovedObjectFile,0.0,0.5577
FeatureOnly,0.1,1.0000
TrajectoryOnly,0.1,0.1442
Hybrid_b1.0,0.1,1.0000
ObjectFile_v4,0.1,0.0962
ImprovedObjectFile,0.1,0.5481
FeatureOnly,0.3,0.9615
TrajectoryOnly,0.3,0.1442
Hybrid_b1.0,0.3,0.9231
ObjectFile_v4,0.3,0.1058
ImprovedObjectFile,0.3,0.4712
FeatureOnly,0.5,0.8077
TrajectoryOnly,0.5,0.1442
Hybrid_b1.0,0.5,0.7115
ObjectFile_v4,0.5,0.1058
ImprovedObjectFile,0.5,0.4615
