mechanism,occlusion_ratio,identity_under_occlusion_no_feature
FeatureOnly,0.0,1.0000
TrajectoryOnly,0.0,0.1442
Hybrid_b1.0,0.0,1.0000
ObjectFile_v4,0.0,0.0962
ImprovedObjectFile,0.0,0.5577
FeatureOnly,0.25,1.0000
TrajectoryOnly,0.25,0.1442
Hybrid_b1.0,0.25,1.0000
ObjectFile_v4,0.25,0.1442
ImprovedObjectFile,0.25,0.5577
FeatureOnly,0.5,1.0000
TrajectoryOnly,0.5,0.1442
Hybrid_b1.0,0.5,1.0000
ObjectFile_v4,0.5,0.2404
ImprovedObjectFile,0.5,0.5577
FeatureOnly,0.75,1.0000
TrajectoryOnly,0.75,0.1442
Hybrid_b1.0,0.75,1.0000
ObjectFile_v4,0.75,0.3942
ImprovedObjectFile,0.75,0.5577
FeatureOnly,1.0,0.0000
TrajectoryOnly,1.0,0.1442
Hybrid_b1.0,1.0,0.0577
ObjectFile_v4,1.0,0.3269
ImprovedObjectFile,1.0,0.4231
