mechanism,feature_noise_std,identity_under_feature_noise
FeatureOnly,0.0,1.0000
TrajectoryOnly,0.0,0.1538
Hybrid_b1.0,0.0,1.0000
ObjectFile_v4,0.0,0.0962
ImprovedObjectFile_v4.1,0.0,0.5673
ConflictFirst_traj,0.0,0.4519
ConflictFirst_feat_low_traj,0.0,0.7404
ConflictFirst_abstain,0.0,0.4519
ConflictFirst_margin,0.0,0.5192
FeatureOnly,0.1,1.0000
TrajectoryOnly,0.1,0.1538
Hybrid_b1.0,0.1,1.0000
ObjectFile_v4,0.1,0.0962
ImprovedObjectFile_v4.1,0.1,0.5673
ConflictFirst_traj,0.1,0.4519
ConflictFirst_feat_low_traj,0.1,0.7404
ConflictFirst_abstain,0.1,0.4519
ConflictFirst_margin,0.1,0.5192
FeatureOnly,0.3,0.9615
TrajectoryOnly,0.3,0.1538
Hybrid_b1.0,0.3,0.9423
ObjectFile_v4,0.3,0.1058
ImprovedObjectFile_v4.1,0.3,0.5096
ConflictFirst_traj,0.3,0.4519
ConflictFirst_feat_low_traj,0.3,0.7115
ConflictFirst_abstain,0.3,0.4519
ConflictFirst_margin,0.3,0.5096
FeatureOnly,0.5,0.8077
TrajectoryOnly,0.5,0.1538
Hybrid_b1.0,0.5,0.7981
ObjectFile_v4,0.5,0.1058
ImprovedObjectFile_v4.1,0.5,0.4808
ConflictFirst_traj,0.5,0.4519
ConflictFirst_feat_low_traj,0.5,0.5673
ConflictFirst_abstain,0.5,0.4519
ConflictFirst_margin,0.5,0.4519
