mechanism,occlusion_ratio,identity_under_occlusion_no_feature
FeatureOnly,0.0,1.0000
TrajectoryOnly,0.0,0.1538
Hybrid_b1.0,0.0,1.0000
ObjectFile_v4,0.0,0.0962
ImprovedObjectFile_v4.1,0.0,0.5673
ConflictFirst_traj,0.0,0.4519
ConflictFirst_feat_low_traj,0.0,0.7404
ConflictFirst_abstain,0.0,0.4519
ConflictFirst_margin,0.0,0.5192
FeatureOnly,0.25,1.0000
TrajectoryOnly,0.25,0.1538
Hybrid_b1.0,0.25,1.0000
ObjectFile_v4,0.25,0.1442
ImprovedObjectFile_v4.1,0.25,0.5673
ConflictFirst_traj,0.25,0.4519
ConflictFirst_feat_low_traj,0.25,0.7404
ConflictFirst_abstain,0.25,0.4519
ConflictFirst_margin,0.25,0.5192
FeatureOnly,0.5,1.0000
TrajectoryOnly,0.5,0.1538
Hybrid_b1.0,0.5,1.0000
ObjectFile_v4,0.5,0.2404
ImprovedObjectFile_v4.1,0.5,0.5673
ConflictFirst_traj,0.5,0.4519
ConflictFirst_feat_low_traj,0.5,0.7404
ConflictFirst_abstain,0.5,0.4519
ConflictFirst_margin,0.5,0.5192
FeatureOnly,0.75,1.0000
TrajectoryOnly,0.75,0.1538
Hybrid_b1.0,0.75,1.0000
ObjectFile_v4,0.75,0.3942
ImprovedObjectFile_v4.1,0.75,0.5673
ConflictFirst_traj,0.75,0.4519
ConflictFirst_feat_low_traj,0.75,0.7404
ConflictFirst_abstain,0.75,0.4519
ConflictFirst_margin,0.75,0.5192
FeatureOnly,1.0,0.0000
TrajectoryOnly,1.0,0.1538
Hybrid_b1.0,1.0,0.0481
ObjectFile_v4,1.0,0.3269
ImprovedObjectFile_v4.1,1.0,0.4519
ConflictFirst_traj,1.0,0.4519
ConflictFirst_feat_low_traj,1.0,0.1827
ConflictFirst_abstain,1.0,0.4519
ConflictFirst_margin,1.0,0.3173
