mechanism,conflict_type,identity_under_conflict,traj_correct_rate,feat_wrong_rate,chosen_source_feature_rate,chosen_source_trajectory_rate,chosen_source_uncertain_rate,abstention_rate,accuracy_when_not_abstaining
FeatureOnly,feature_wrong_trajectory_correct,0.0000,0.0000,1.0000,nan,nan,nan,0.0000,0.0000
TrajectoryOnly,feature_wrong_trajectory_correct,0.9619,0.9619,0.0381,nan,nan,nan,0.0000,0.9619
TrajectoryOnly_aug,feature_wrong_trajectory_correct,0.9714,0.9714,0.0286,nan,nan,nan,0.0000,0.9714
Hybrid_b1.0,feature_wrong_trajectory_correct,0.5524,0.5524,0.4476,nan,nan,nan,0.0000,0.5524
ObjectFile_v4,feature_wrong_trajectory_correct,0.9333,0.9333,0.0667,nan,nan,nan,0.0000,0.9333
ImprovedObjectFile_v4.1,feature_wrong_trajectory_correct,0.6762,0.6762,0.3238,1.0000,0.0000,0.0000,0.0000,0.6762
ConflictFirst_margin_v4.2,feature_wrong_trajectory_correct,0.7143,0.7143,0.2857,0.1238,0.6667,0.0476,0.0476,0.7000
TrajRobust_aware_v4.3,feature_wrong_trajectory_correct,0.6000,0.6000,0.4000,0.0000,0.5714,0.0286,0.0286,0.5882
TrajRobust_aware_aug_v4.3,feature_wrong_trajectory_correct,0.6190,0.6190,0.3810,0.0000,0.6190,0.0000,0.0000,0.6190
TrajRobust_veto_v4.3,feature_wrong_trajectory_correct,0.6571,0.6571,0.3429,0.0000,0.0000,0.0000,0.0000,0.6571
TrajRobust_veto_aug_v4.3,feature_wrong_trajectory_correct,0.6476,0.6476,0.3524,0.0000,0.0000,0.0000,0.0000,0.6476
