mechanism,occlusion_ratio,identity_under_occlusion_no_feature
FeatureOnly,0.0,1.0000
TrajectoryOnly,0.0,0.1731
TrajectoryOnly_aug,0.0,0.1250
Hybrid_b1.0,0.0,0.9904
ObjectFile_v4,0.0,0.0962
ImprovedObjectFile_v4.1,0.0,0.6058
ConflictFirst_margin_v4.2,0.0,0.5288
TrajRobust_aware_v4.3,0.0,0.5673
TrajRobust_aware_aug_v4.3,0.0,0.6250
TrajRobust_veto_v4.3,0.0,0.5096
TrajRobust_veto_aug_v4.3,0.0,0.5288
FeatureOnly,0.5,1.0000
TrajectoryOnly,0.5,0.1731
TrajectoryOnly_aug,0.5,0.1250
Hybrid_b1.0,0.5,0.9904
ObjectFile_v4,0.5,0.2404
ImprovedObjectFile_v4.1,0.5,0.6058
ConflictFirst_margin_v4.2,0.5,0.5288
TrajRobust_aware_v4.3,0.5,0.5673
TrajRobust_aware_aug_v4.3,0.5,0.6250
TrajRobust_veto_v4.3,0.5,0.5096
TrajRobust_veto_aug_v4.3,0.5,0.5288
FeatureOnly,0.75,1.0000
TrajectoryOnly,0.75,0.1731
TrajectoryOnly_aug,0.75,0.1250
Hybrid_b1.0,0.75,0.9904
ObjectFile_v4,0.75,0.3942
ImprovedObjectFile_v4.1,0.75,0.6058
ConflictFirst_margin_v4.2,0.75,0.5288
TrajRobust_aware_v4.3,0.75,0.5673
TrajRobust_aware_aug_v4.3,0.75,0.6250
TrajRobust_veto_v4.3,0.75,0.5096
TrajRobust_veto_aug_v4.3,0.75,0.5288
FeatureOnly,1.0,0.0000
TrajectoryOnly,1.0,0.1731
TrajectoryOnly_aug,1.0,0.1250
Hybrid_b1.0,1.0,0.6827
ObjectFile_v4,1.0,0.3269
ImprovedObjectFile_v4.1,1.0,0.4423
ConflictFirst_margin_v4.2,1.0,0.3077
TrajRobust_aware_v4.3,1.0,0.1058
TrajRobust_aware_aug_v4.3,1.0,0.0865
TrajRobust_veto_v4.3,1.0,0.2212
TrajRobust_veto_aug_v4.3,1.0,0.2404
