mechanism,feature_noise_std,identity_swap_only,identity_under_feature_noise,feature_dependency_score
FeatureOnly,0.0,1.0000,1.0000,0.4904
TrajectoryOnly,0.0,0.1346,0.1346,0.0000
Hybrid_b1.0,0.0,1.0000,1.0000,0.4904
Hybrid_b2.0,0.0,1.0000,1.0000,0.4904
ObjectFile,0.0,0.0962,0.0962,0.0192
ObjFileLearned,0.0,0.4519,0.4519,0.0385
FeatureOnly,0.1,1.0000,1.0000,0.4904
TrajectoryOnly,0.1,0.1346,0.1346,0.0000
Hybrid_b1.0,0.1,1.0000,1.0000,0.4904
Hybrid_b2.0,0.1,1.0000,1.0000,0.4904
ObjectFile,0.1,0.0962,0.0962,0.0192
ObjFileLearned,0.1,0.4423,0.4423,0.0288
FeatureOnly,0.3,0.9712,0.9712,0.4615
TrajectoryOnly,0.3,0.1346,0.1346,0.0000
Hybrid_b1.0,0.3,0.9712,0.9712,0.4615
Hybrid_b2.0,0.3,0.9519,0.9519,0.4423
ObjectFile,0.3,0.1058,0.1058,0.0288
ObjFileLearned,0.3,0.4327,0.4327,0.0192
FeatureOnly,0.5,0.7788,0.7788,0.2692
TrajectoryOnly,0.5,0.1346,0.1346,0.0000
Hybrid_b1.0,0.5,0.7885,0.7885,0.2788
Hybrid_b2.0,0.5,0.7885,0.7885,0.2788
ObjectFile,0.5,0.1058,0.1058,0.0288
ObjFileLearned,0.5,0.4423,0.4423,0.0288
