mechanism,occlusion_ratio,identity_swap_only,identity_under_occlusion_no_feature
FeatureOnly,0.0,1.0000,1.0000
TrajectoryOnly,0.0,0.1346,0.1346
Hybrid_b1.0,0.0,1.0000,1.0000
Hybrid_b2.0,0.0,1.0000,1.0000
ObjectFile,0.0,0.0962,0.0962
ObjFileLearned,0.0,0.4519,0.4519
FeatureOnly,0.25,1.0000,1.0000
TrajectoryOnly,0.25,0.1346,0.1346
Hybrid_b1.0,0.25,1.0000,1.0000
Hybrid_b2.0,0.25,1.0000,1.0000
ObjectFile,0.25,0.1442,0.1442
ObjFileLearned,0.25,0.4519,0.4519
FeatureOnly,0.5,1.0000,1.0000
TrajectoryOnly,0.5,0.1346,0.1346
Hybrid_b1.0,0.5,1.0000,1.0000
Hybrid_b2.0,0.5,1.0000,1.0000
ObjectFile,0.5,0.2404,0.2404
ObjFileLearned,0.5,0.4519,0.4519
FeatureOnly,0.75,1.0000,1.0000
TrajectoryOnly,0.75,0.1346,0.1346
Hybrid_b1.0,0.75,1.0000,1.0000
Hybrid_b2.0,0.75,1.0000,1.0000
ObjectFile,0.75,0.3942,0.3942
ObjFileLearned,0.75,0.4519,0.4519
FeatureOnly,1.0,0.0000,0.0000
TrajectoryOnly,1.0,0.1346,0.1346
Hybrid_b1.0,1.0,0.2404,0.2404
Hybrid_b2.0,1.0,0.0096,0.0096
ObjectFile,1.0,0.3269,0.3269
ObjFileLearned,1.0,0.3942,0.3942
