model,model_type,num_objects,feature_dim,seed,swap_only,overall,conflict_a,conflict_a_traj_correct,feat_dep,traj_dep
SlotAttention,learned,2,2,0,1.0000,1.0000,0.0000,0.0000,0.4574,0.0000
RIMs,learned,2,2,0,1.0000,1.0000,0.0000,0.0000,0.4574,0.0000
SAVi,learned,2,2,0,1.0000,1.0000,0.0000,0.0000,0.4574,0.0000
DINOSAUR,learned,2,2,0,1.0000,1.0000,0.0000,0.0000,0.4574,0.0000
FeatureOnly,learned,2,2,0,1.0000,1.0000,0.0000,0.0000,0.4574,0.0000
Hybrid,learned,2,2,0,1.0000,1.0000,0.2571,0.2571,0.4574,0.2979
TrajOnly,traj_only,2,2,0,0.1702,0.1789,0.9619,0.9619,0.0000,0.1702
CFObjectFile,obj_file,2,2,0,0.5000,0.5053,0.7143,0.7143,0.1383,0.2660
SlotAttention,learned,2,2,42,1.0000,1.0000,0.0000,0.0000,0.4396,0.0330
RIMs,learned,2,2,42,1.0000,1.0000,0.0000,0.0000,0.4396,0.0000
SAVi,learned,2,2,42,1.0000,1.0000,0.0000,0.0000,0.4396,0.0220
DINOSAUR,learned,2,2,42,1.0000,1.0000,0.0000,0.0000,0.4396,0.0000
FeatureOnly,learned,2,2,42,1.0000,1.0000,0.0000,0.0000,0.4396,0.0000
Hybrid,learned,2,2,42,0.9560,0.9560,0.2959,0.2959,0.1429,0.6813
TrajOnly,traj_only,2,2,42,0.1429,0.1429,0.8980,0.8980,0.0000,0.1429
CFObjectFile,obj_file,2,2,42,0.5385,0.5385,0.5918,0.5918,0.1209,0.3407
SlotAttention,learned,2,2,123,1.0000,1.0000,0.0000,0.0000,0.4857,0.0000
RIMs,learned,2,2,123,1.0000,1.0000,0.0000,0.0000,0.4857,0.0000
SAVi,learned,2,2,123,1.0000,1.0000,0.0000,0.0000,0.4857,0.0000
DINOSAUR,learned,2,2,123,1.0000,1.0000,0.0000,0.0000,0.4857,0.0000
FeatureOnly,learned,2,2,123,1.0000,1.0000,0.0000,0.0000,0.4857,0.0000
Hybrid,learned,2,2,123,1.0000,1.0000,0.2368,0.2368,0.2762,0.7619
TrajOnly,traj_only,2,2,123,0.1238,0.1238,0.9474,0.9474,0.0000,0.1238
CFObjectFile,obj_file,2,2,123,0.5810,0.5810,0.6140,0.6140,0.1905,0.3143
SlotAttention,learned,3,16,0,1.0000,1.0000,0.0000,0.0000,0.8500,0.0000
RIMs,learned,3,16,0,1.0000,1.0000,0.0000,0.0000,0.8500,0.0000
SAVi,learned,3,16,0,1.0000,1.0000,0.0000,0.0000,0.8500,0.0000
DINOSAUR,learned,3,16,0,1.0000,1.0000,0.0000,0.0000,0.8500,0.0000
FeatureOnly,learned,3,16,0,1.0000,1.0000,0.0000,0.0000,0.8500,0.0000
Hybrid,learned,3,16,0,0.0500,0.0388,0.9259,0.9259,0.0500,0.0000
TrajOnly,traj_only,3,16,0,0.0667,0.1359,0.8611,0.8611,0.0000,0.0667
CFObjectFile,obj_file,3,16,0,0.6167,0.5534,0.3889,0.3889,0.4167,0.1000
SlotAttention,learned,3,16,42,1.0000,1.0000,0.0000,0.0000,0.7467,0.0000
RIMs,learned,3,16,42,1.0000,1.0000,0.0000,0.0000,0.7467,0.0000
SAVi,learned,3,16,42,1.0000,1.0000,0.0000,0.0000,0.7467,0.0000
DINOSAUR,learned,3,16,42,1.0000,1.0000,0.0000,0.0000,0.7467,0.0000
FeatureOnly,learned,3,16,42,1.0000,1.0000,0.0000,0.0000,0.7467,0.0000
Hybrid,learned,3,16,42,0.0133,0.0190,0.9800,0.9800,0.0133,0.0000
TrajOnly,traj_only,3,16,42,0.1200,0.1429,0.8100,0.8100,0.0000,0.1200
CFObjectFile,obj_file,3,16,42,0.5467,0.5524,0.4300,0.4300,0.4133,0.1200
SlotAttention,learned,3,16,123,1.0000,1.0000,0.0000,0.0000,0.7797,0.0000
RIMs,learned,3,16,123,1.0000,1.0000,0.0000,0.0000,0.7797,0.0000
SAVi,learned,3,16,123,1.0000,1.0000,0.0000,0.0000,0.7797,0.0000
DINOSAUR,learned,3,16,123,1.0000,1.0000,0.0000,0.0000,0.7797,0.0000
FeatureOnly,learned,3,16,123,1.0000,1.0000,0.0000,0.0000,0.7797,0.0000
Hybrid,learned,3,16,123,0.0678,0.1262,0.9314,0.9314,0.0508,0.0000
TrajOnly,traj_only,3,16,123,0.1186,0.1845,0.8235,0.8235,0.0000,0.1186
CFObjectFile,obj_file,3,16,123,0.5085,0.5534,0.4216,0.4216,0.3051,0.2034
