model,method,num_objects,feature_dim,seed,swap_only,overall,conflict_a
SlotAttention,slot,2,2,0,0.1809,0.1789,0.3238
SlotAttention,feature,2,2,0,0.0000,0.0000,0.0000
DINOSAUR,slot,2,2,0,0.1596,0.1579,0.3905
DINOSAUR,feature,2,2,0,1.0000,1.0000,0.0000
SlotAttention,slot,2,2,42,0.1429,0.1429,0.3367
SlotAttention,feature,2,2,42,0.0000,0.0000,0.0000
DINOSAUR,slot,2,2,42,0.1429,0.1429,0.1735
DINOSAUR,feature,2,2,42,1.0000,1.0000,0.0000
SlotAttention,slot,2,2,123,0.1143,0.1143,0.1053
SlotAttention,feature,2,2,123,0.0000,0.0000,0.0000
DINOSAUR,slot,2,2,123,0.0667,0.0667,0.1404
DINOSAUR,feature,2,2,123,1.0000,1.0000,0.0000
SlotAttention,slot,3,16,0,0.0167,0.0097,0.0093
SlotAttention,feature,3,16,0,0.0000,0.0000,0.0000
DINOSAUR,slot,3,16,0,0.0167,0.0194,0.0278
DINOSAUR,feature,3,16,0,1.0000,1.0000,0.0000
SlotAttention,slot,3,16,42,0.0133,0.0095,0.0200
SlotAttention,feature,3,16,42,0.0000,0.0000,0.0000
DINOSAUR,slot,3,16,42,0.0000,0.0000,0.0100
DINOSAUR,feature,3,16,42,1.0000,1.0000,0.0000
SlotAttention,slot,3,16,123,0.0000,0.0000,0.0098
SlotAttention,feature,3,16,123,0.0000,0.0000,0.0000
DINOSAUR,slot,3,16,123,0.0169,0.0291,0.0000
DINOSAUR,feature,3,16,123,1.0000,1.0000,0.0000
