predictor,config,num_objects,feature_dim,seed,swap_only,overall,clean_skill,ood_skill,ood_swap_only,conflict_a
MLP,trajectory_only,2,2,0,0.1702,0.1789,0.6684,0.7458,0.1923,
CF+MLP,conflict_first,2,2,0,0.5532,0.5579,,,,0.7238
HNN,trajectory_only,2,2,0,0.1596,0.1684,0.2980,0.2653,0.1923,
CF+HNN,conflict_first,2,2,0,0.6064,0.6105,,,,0.5143
MLP,trajectory_only,2,2,42,0.1538,0.1538,0.7069,0.7223,0.1905,
CF+MLP,conflict_first,2,2,42,0.5385,0.5385,,,,0.6327
HNN,trajectory_only,2,2,42,0.1978,0.1978,0.2314,0.2794,0.0952,
CF+HNN,conflict_first,2,2,42,0.5824,0.5824,,,,0.4388
MLP,trajectory_only,2,2,123,0.1714,0.1714,0.6826,0.7165,0.2000,
CF+MLP,conflict_first,2,2,123,0.5238,0.5238,,,,0.6404
HNN,trajectory_only,2,2,123,0.2190,0.2190,0.1954,0.2284,0.2000,
CF+HNN,conflict_first,2,2,123,0.6095,0.6095,,,,0.4211
MLP,trajectory_only,3,16,0,0.0500,0.0874,0.5816,0.6694,0.0000,
CF+MLP,conflict_first,3,16,0,0.6833,0.6408,,,,0.3426
HNN,trajectory_only,3,16,0,0.1000,0.1456,0.0899,0.1636,0.0000,
CF+HNN,conflict_first,3,16,0,0.6167,0.6214,,,,0.1204
MLP,trajectory_only,3,16,42,0.1333,0.1619,0.6288,0.6788,0.0667,
CF+MLP,conflict_first,3,16,42,0.5333,0.5333,,,,0.3600
HNN,trajectory_only,3,16,42,0.1067,0.1143,0.1740,0.1880,0.0000,
CF+HNN,conflict_first,3,16,42,0.5600,0.6190,,,,0.2200
MLP,trajectory_only,3,16,123,0.0847,0.1650,0.6023,0.6877,0.2143,
CF+MLP,conflict_first,3,16,123,0.5085,0.5825,,,,0.3824
HNN,trajectory_only,3,16,123,0.1017,0.1456,0.1057,0.1755,0.1429,
CF+HNN,conflict_first,3,16,123,0.6271,0.6893,,,,0.1569
