mechanism,num_objects,feature_dim,seed,swap_only,overall,no_swap,abstain_rate,conflict_a
CFObjectFile_rule,2,2,0,0.5426,0.5474,1.0000,0.0105,
UAObjectFile_lower_uncertainty,2,2,0,1.0000,1.0000,1.0000,0.0000,0.0000
UAObjectFile_epistemic_gated,2,2,0,0.3830,0.3895,1.0000,0.0000,0.9238
CFObjectFile_rule,2,2,42,0.5275,0.5275,nan,0.0220,
UAObjectFile_lower_uncertainty,2,2,42,1.0000,1.0000,nan,0.0000,0.0000
UAObjectFile_epistemic_gated,2,2,42,0.7253,0.7253,nan,0.0000,0.8265
CFObjectFile_rule,2,2,123,0.5619,0.5619,nan,0.0286,
UAObjectFile_lower_uncertainty,2,2,123,1.0000,1.0000,nan,0.0000,0.0000
UAObjectFile_epistemic_gated,2,2,123,0.6476,0.6476,nan,0.0000,0.8684
CFObjectFile_rule,3,16,0,0.6667,0.5922,0.4884,0.0485,
UAObjectFile_lower_uncertainty,3,16,0,0.0667,0.0777,0.0930,0.0000,0.9630
UAObjectFile_epistemic_gated,3,16,0,0.0667,0.0777,0.0930,0.3398,0.9630
CFObjectFile_rule,3,16,42,0.6000,0.5714,0.5000,0.0286,
UAObjectFile_lower_uncertainty,3,16,42,0.0667,0.0571,0.0333,0.0000,0.9400
UAObjectFile_epistemic_gated,3,16,42,0.0667,0.0571,0.0333,0.3905,0.9400
CFObjectFile_rule,3,16,123,0.4915,0.6019,0.7500,0.0291,
UAObjectFile_lower_uncertainty,3,16,123,0.0678,0.0874,0.1136,0.0000,0.9608
UAObjectFile_epistemic_gated,3,16,123,0.0678,0.0874,0.1136,0.3883,0.9608
