mechanism,num_objects,feature_dim,seed,swap_only,overall,conflict_a
LearnedObjectFile_combined,2,2,0,1.0000,1.0000,0.0000
LearnedObjectFile_feature,2,2,0,1.0000,1.0000,0.0000
LearnedObjectFile_trajectory,2,2,0,0.0106,0.0211,0.5333
FeatureOnly,2,2,0,1.0000,1.0000,
Hybrid,2,2,0,0.9894,0.9895,
CFObjectFile_rule,2,2,0,0.5213,0.5263,0.7143
LearnedObjectFile_combined,2,2,42,1.0000,1.0000,0.0000
LearnedObjectFile_feature,2,2,42,1.0000,1.0000,0.0000
LearnedObjectFile_trajectory,2,2,42,0.0110,0.0110,0.8878
FeatureOnly,2,2,42,1.0000,1.0000,
Hybrid,2,2,42,1.0000,1.0000,
CFObjectFile_rule,2,2,42,0.5385,0.5385,0.6224
LearnedObjectFile_combined,2,2,123,1.0000,1.0000,0.0000
LearnedObjectFile_feature,2,2,123,1.0000,1.0000,0.0000
LearnedObjectFile_trajectory,2,2,123,0.0095,0.0095,0.4912
FeatureOnly,2,2,123,1.0000,1.0000,
Hybrid,2,2,123,0.9619,0.9619,
CFObjectFile_rule,2,2,123,0.5619,0.5619,0.6491
LearnedObjectFile_combined,3,16,0,1.0000,0.9903,0.0000
LearnedObjectFile_feature,3,16,0,1.0000,0.9903,0.0000
LearnedObjectFile_trajectory,3,16,0,0.0000,0.0000,0.4352
FeatureOnly,3,16,0,1.0000,1.0000,
Hybrid,3,16,0,0.0333,0.0388,
CFObjectFile_rule,3,16,0,0.6833,0.6214,0.3796
LearnedObjectFile_combined,3,16,42,1.0000,1.0000,0.0000
LearnedObjectFile_feature,3,16,42,1.0000,1.0000,0.0000
LearnedObjectFile_trajectory,3,16,42,0.0267,0.0286,0.9100
FeatureOnly,3,16,42,1.0000,1.0000,
Hybrid,3,16,42,0.0533,0.0476,
CFObjectFile_rule,3,16,42,0.5600,0.5333,0.4100
LearnedObjectFile_combined,3,16,123,1.0000,1.0000,0.0000
LearnedObjectFile_feature,3,16,123,1.0000,1.0000,0.0000
LearnedObjectFile_trajectory,3,16,123,0.0339,0.0291,0.9216
FeatureOnly,3,16,123,1.0000,1.0000,
Hybrid,3,16,123,0.1864,0.1165,
CFObjectFile_rule,3,16,123,0.5424,0.6019,0.3922
